Company,Year,Quarter,CEO,CFO
AAPL,2010,Q1,Steve Jobs,Peter Oppenheimer
AAPL,2010,Q2,Steve Jobs,Peter Oppenheimer
AAPL,2010,Q3,Steve Jobs,Peter Oppenheimer
AAPL,2010,Q4,Steve Jobs,Peter Oppenheimer
AAPL,2011,Q1,Tim Cook,Peter Oppenheimer
AAPL,2011,Q2,Tim Cook,Peter Oppenheimer
AAPL,2011,Q3,Tim Cook,Peter Oppenheimer
AAPL,2011,Q4,Tim Cook,Peter Oppenheimer
AAPL,2012,Q1,Tim Cook,Peter Oppenheimer
AAPL,2012,Q2,Tim Cook,Peter Oppenheimer
AAPL,2012,Q3,Tim Cook,Peter Oppenheimer
AAPL,2012,Q4,Tim Cook,Peter Oppenheimer
AAPL,2013,Q1,Tim Cook,Peter Oppenheimer
AAPL,2013,Q2,Tim Cook,Peter Oppenheimer
AAPL,2013,Q3,Tim Cook,Peter Oppenheimer
AAPL,2013,Q4,Tim Cook,Peter Oppenheimer
AAPL,2014,Q1,Tim Cook,Luca Maestri
AAPL,2014,Q2,Tim Cook,Luca Maestri
AAPL,2014,Q3,Tim Cook,Luca Maestri
AAPL,2014,Q4,Tim Cook,Luca Maestri
AAPL,2015,Q1,Tim Cook,Luca Maestri
AAPL,2015,Q2,Tim Cook,Luca Maestri
AAPL,2015,Q3,Tim Cook,Luca Maestri
AAPL,2015,Q4,Tim Cook,Luca Maestri
AAPL,2016,Q1,Tim Cook,Luca Maestri
AAPL,2016,Q2,Tim Cook,Luca Maestri
AAPL,2016,Q3,Tim Cook,Luca Maestri
AAPL,2016,Q4,Tim Cook,Luca Maestri
AAPL,2017,Q1,Tim Cook,Luca Maestri
AAPL,2017,Q2,Tim Cook,Luca Maestri
AAPL,2017,Q3,Tim Cook,Luca Maestri
AAPL,2017,Q4,Tim Cook,Luca Maestri
AAPL,2018,Q1,Tim Cook,Luca Maestri
AAPL,2018,Q2,Tim Cook,Luca Maestri
AAPL,2018,Q3,Tim Cook,Luca Maestri
AAPL,2018,Q4,Tim Cook,Luca Maestri
AAPL,2019,Q1,Tim Cook,Luca Maestri
AAPL,2019,Q2,Tim Cook,Luca Maestri
AAPL,2019,Q3,Tim Cook,Luca Maestri
AAPL,2019,Q4,Tim Cook,Luca Maestri
AAPL,2020,Q1,Tim Cook,Luca Maestri
AAPL,2020,Q2,Tim Cook,Luca Maestri
AAPL,2020,Q3,Tim Cook,Luca Maestri
AAPL,2020,Q4,Tim Cook,Luca Maestri
AAPL,2021,Q1,Tim Cook,Luca Maestri
AAPL,2021,Q2,Tim Cook,Luca Maestri
AAPL,2021,Q3,Tim Cook,Luca Maestri
AAPL,2021,Q4,Tim Cook,Luca Maestri
AAPL,2022,Q1,Tim Cook,Luca Maestri
AAPL,2022,Q2,Tim Cook,Luca Maestri
AAPL,2022,Q3,Tim Cook,Luca Maestri
AAPL,2022,Q4,Tim Cook,Luca Maestri
AAPL,2023,Q1,Tim Cook,Luca Maestri
AAPL,2023,Q2,Tim Cook,Luca Maestri
AAPL,2023,Q3,Tim Cook,Luca Maestri
AAPL,2023,Q4,Tim Cook,Luca Maestri
AAPL,2024,Q1,Tim Cook,Luca Maestri
AAPL,2024,Q2,Tim Cook,Luca Maestri
AAPL,2024,Q3,Tim Cook,Luca Maestri
AAPL,2024,Q4,Tim Cook,Luca Maestri
AAPL,2025,Q1,Tim Cook,Luca Maestri
AAPL,2025,Q2,Tim Cook,Luca Maestri
AAPL,2025,Q3,Tim Cook,Luca Maestri
AAPL,2025,Q4,Tim Cook,Luca Maestri
