Year,Quarter,CEO,CFO
2010,Q1,James J. Rogers,Susan Tomasky
2010,Q2,James J. Rogers,Susan Tomasky
2010,Q3,James J. Rogers,Susan Tomasky
2010,Q4,James J. Rogers,Susan Tomasky
2011,Q1,James J. Rogers,Susan Tomasky
2011,Q2,James J. Rogers,Susan Tomasky
2011,Q3,James J. Rogers,Susan Tomasky
2011,Q4,James J. Rogers,Susan Tomasky
2012,Q1,James J. Rogers,Susan Tomasky
2012,Q2,James J. Rogers,Susan Tomasky
2012,Q3,James J. Rogers,Susan Tomasky
2012,Q4,James J. Rogers,Susan Tomasky
2013,Q1,Nicholas K. Akins,Susan Tomasky
2013,Q2,Nicholas K. Akins,Susan Tomasky
2013,Q3,Nicholas K. Akins,Susan Tomasky
2013,Q4,Nicholas K. Akins,Susan Tomasky
2014,Q1,Nicholas K. Akins,Brian X. Tierney
2014,Q2,Nicholas K. Akins,Brian X. Tierney
2014,Q3,Nicholas K. Akins,Brian X. Tierney
2014,Q4,Nicholas K. Akins,Brian X. Tierney
2015,Q1,Nicholas K. Akins,Brian X. Tierney
2015,Q2,Nicholas K. Akins,Brian X. Tierney
2015,Q3,Nicholas K. Akins,Brian X. Tierney
2015,Q4,Nicholas K. Akins,Brian X. Tierney
2016,Q1,Nicholas K. Akins,Brian X. Tierney
2016,Q2,Nicholas K. Akins,Brian X. Tierney
2016,Q3,Nicholas K. Akins,Brian X. Tierney
2016,Q4,Nicholas K. Akins,Brian X. Tierney
2017,Q1,Nicholas K. Akins,Brian X. Tierney
2017,Q2,Nicholas K. Akins,Brian X. Tierney
2017,Q3,Nicholas K. Akins,Brian X. Tierney
2017,Q4,Nicholas K. Akins,Brian X. Tierney
2018,Q1,Nicholas K. Akins,Brian X. Tierney
2018,Q2,Nicholas K. Akins,Brian X. Tierney
2018,Q3,Nicholas K. Akins,Brian X. Tierney
2018,Q4,Nicholas K. Akins,Brian X. Tierney
2019,Q1,Nicholas K. Akins,Brian X. Tierney
2019,Q2,Nicholas K. Akins,Brian X. Tierney
2019,Q3,Nicholas K. Akins,Brian X. Tierney
2019,Q4,Nicholas K. Akins,Brian X. Tierney
2020,Q1,Nicholas K. Akins,Brian X. Tierney
2020,Q2,Nicholas K. Akins,Brian X. Tierney
2020,Q3,Nicholas K. Akins,Brian X. Tierney
2020,Q4,Nicholas K. Akins,Brian X. Tierney
2021,Q1,Nicholas K. Akins,Julie A. Sloat
2021,Q2,Nicholas K. Akins,Julie A. Sloat
2021,Q3,Nicholas K. Akins,Julie A. Sloat
2021,Q4,Nicholas K. Akins,Julie A. Sloat
2022,Q1,Julie A. Sloat,David W. Young
2022,Q2,Julie A. Sloat,David W. Young
2022,Q3,Julie A. Sloat,David W. Young
2022,Q4,Julie A. Sloat,David W. Young
2023,Q1,Julie A. Sloat,David W. Young
2023,Q2,Julie A. Sloat,David W. Young
2023,Q3,Julie A. Sloat,David W. Young
2023,Q4,Julie A. Sloat,David W. Young
2024,Q1,Julie A. Sloat,David W. Young
2024,Q2,Julie A. Sloat,David W. Young
2024,Q3,Julie A. Sloat,David W. Young
2024,Q4,Julie A. Sloat,David W. Young
2025,Q1,Julie A. Sloat,David W. Young
2025,Q2,Julie A. Sloat,David W. Young
2025,Q3,Julie A. Sloat,David W. Young
2025,Q4,Julie A. Sloat,David W. Young
