Year,Quarter,CEO,CFO
2010,Q1,Paul Hanrahan,Thomas O'Flynn
2010,Q2,Paul Hanrahan,Thomas O'Flynn
2010,Q3,Paul Hanrahan,Thomas O'Flynn
2010,Q4,Paul Hanrahan,Thomas O'Flynn
2011,Q1,Paul Hanrahan,Thomas O'Flynn
2011,Q2,Paul Hanrahan,Thomas O'Flynn
2011,Q3,Paul Hanrahan,Thomas O'Flynn
2011,Q4,Paul Hanrahan,Thomas O'Flynn
2012,Q1,Paul Hanrahan,Thomas O'Flynn
2012,Q2,Paul Hanrahan,Thomas O'Flynn
2012,Q3,Paul Hanrahan,Thomas O'Flynn
2012,Q4,Paul Hanrahan,Thomas O'Flynn
2013,Q1,Andrés Gluski,Thomas O'Flynn
2013,Q2,Andrés Gluski,Thomas O'Flynn
2013,Q3,Andrés Gluski,Thomas O'Flynn
2013,Q4,Andrés Gluski,Thomas O'Flynn
2014,Q1,Andrés Gluski,Thomas O'Flynn
2014,Q2,Andrés Gluski,Thomas O'Flynn
2014,Q3,Andrés Gluski,Thomas O'Flynn
2014,Q4,Andrés Gluski,Thomas O'Flynn
2015,Q1,Andrés Gluski,Thomas O'Flynn
2015,Q2,Andrés Gluski,Thomas O'Flynn
2015,Q3,Andrés Gluski,Thomas O'Flynn
2015,Q4,Andrés Gluski,Thomas O'Flynn
2016,Q1,Andrés Gluski,Thomas O'Flynn
2016,Q2,Andrés Gluski,Thomas O'Flynn
2016,Q3,Andrés Gluski,Thomas O'Flynn
2016,Q4,Andrés Gluski,Thomas O'Flynn
2017,Q1,Andrés Gluski,Thomas O'Flynn
2017,Q2,Andrés Gluski,Thomas O'Flynn
2017,Q3,Andrés Gluski,Thomas O'Flynn
2017,Q4,Andrés Gluski,Thomas O'Flynn
2018,Q1,Andrés Gluski,Thomas O'Flynn
2018,Q2,Andrés Gluski,Thomas O'Flynn
2018,Q3,Andrés Gluski,Thomas O'Flynn
2018,Q4,Andrés Gluski,Thomas O'Flynn
2019,Q1,Andrés Gluski,Thomas O'Flynn
2019,Q2,Andrés Gluski,Thomas O'Flynn
2019,Q3,Andrés Gluski,Thomas O'Flynn
2019,Q4,Andrés Gluski,Thomas O'Flynn
2020,Q1,Andrés Gluski,Thomas O'Flynn
2020,Q2,Andrés Gluski,Thomas O'Flynn
2020,Q3,Andrés Gluski,Thomas O'Flynn
2020,Q4,Andrés Gluski,Thomas O'Flynn
2021,Q1,Andrés Gluski,Thomas O'Flynn
2021,Q2,Andrés Gluski,Thomas O'Flynn
2021,Q3,Andrés Gluski,Thomas O'Flynn
2021,Q4,Andrés Gluski,Thomas O'Flynn
2022,Q1,Andrés Gluski,Thomas O'Flynn
2022,Q2,Andrés Gluski,Thomas O'Flynn
2022,Q3,Andrés Gluski,Thomas O'Flynn
2022,Q4,Andrés Gluski,Thomas O'Flynn
2023,Q1,Andrés Gluski,Thomas O'Flynn
2023,Q2,Andrés Gluski,Thomas O'Flynn
2023,Q3,Andrés Gluski,Thomas O'Flynn
2023,Q4,Andrés Gluski,Thomas O'Flynn
2024,Q1,Andrés Gluski,Thomas O'Flynn
2024,Q2,Andrés Gluski,Thomas O'Flynn
2024,Q3,Andrés Gluski,Thomas O'Flynn
2024,Q4,Andrés Gluski,Thomas O'Flynn
2025,Q1,Andrés Gluski,Thomas O'Flynn
2025,Q2,Andrés Gluski,Thomas O'Flynn
2025,Q3,Andrés Gluski,Thomas O'Flynn
2025,Q4,Andrés Gluski,Thomas O'Flynn
