Company,Year,Quarter,CEO,CFO
AMZN,2010,Q1,Jeff Bezos,Thomas Szkutak
AMZN,2010,Q2,Jeff Bezos,Thomas Szkutak
AMZN,2010,Q3,Jeff Bezos,Thomas Szkutak
AMZN,2010,Q4,Jeff Bezos,Thomas Szkutak
AMZN,2011,Q1,Jeff Bezos,Thomas Szkutak
AMZN,2011,Q2,Jeff Bezos,Thomas Szkutak
AMZN,2011,Q3,Jeff Bezos,Thomas Szkutak
AMZN,2011,Q4,Jeff Bezos,Thomas Szkutak
AMZN,2012,Q1,Jeff Bezos,Thomas Szkutak
AMZN,2012,Q2,Jeff Bezos,Thomas Szkutak
AMZN,2012,Q3,Jeff Bezos,Thomas Szkutak
AMZN,2012,Q4,Jeff Bezos,Thomas Szkutak
AMZN,2013,Q1,Jeff Bezos,Thomas Szkutak
AMZN,2013,Q2,Jeff Bezos,Thomas Szkutak
AMZN,2013,Q3,Jeff Bezos,Thomas Szkutak
AMZN,2013,Q4,Jeff Bezos,Thomas Szkutak
AMZN,2014,Q1,Jeff Bezos,Thomas Szkutak
AMZN,2014,Q2,Jeff Bezos,Thomas Szkutak
AMZN,2014,Q3,Jeff Bezos,Thomas Szkutak
AMZN,2014,Q4,Jeff Bezos,Thomas Szkutak
AMZN,2015,Q1,Jeff Bezos,Brian Olsavsky
AMZN,2015,Q2,Jeff Bezos,Brian Olsavsky
AMZN,2015,Q3,Jeff Bezos,Brian Olsavsky
AMZN,2015,Q4,Jeff Bezos,Brian Olsavsky
AMZN,2016,Q1,Jeff Bezos,Brian Olsavsky
AMZN,2016,Q2,Jeff Bezos,Brian Olsavsky
AMZN,2016,Q3,Jeff Bezos,Brian Olsavsky
AMZN,2016,Q4,Jeff Bezos,Brian Olsavsky
AMZN,2017,Q1,Jeff Bezos,Brian Olsavsky
AMZN,2017,Q2,Jeff Bezos,Brian Olsavsky
AMZN,2017,Q3,Jeff Bezos,Brian Olsavsky
AMZN,2017,Q4,Jeff Bezos,Brian Olsavsky
AMZN,2018,Q1,Jeff Bezos,Brian Olsavsky
AMZN,2018,Q2,Jeff Bezos,Brian Olsavsky
AMZN,2018,Q3,Jeff Bezos,Brian Olsavsky
AMZN,2018,Q4,Jeff Bezos,Brian Olsavsky
AMZN,2019,Q1,Jeff Bezos,Brian Olsavsky
AMZN,2019,Q2,Jeff Bezos,Brian Olsavsky
AMZN,2019,Q3,Jeff Bezos,Brian Olsavsky
AMZN,2019,Q4,Jeff Bezos,Brian Olsavsky
AMZN,2020,Q1,Jeff Bezos,Brian Olsavsky
AMZN,2020,Q2,Jeff Bezos,Brian Olsavsky
AMZN,2020,Q3,Jeff Bezos,Brian Olsavsky
AMZN,2020,Q4,Jeff Bezos,Brian Olsavsky
AMZN,2021,Q1,Jeff Bezos,Brian Olsavsky
AMZN,2021,Q2,Jeff Bezos,Brian Olsavsky
AMZN,2021,Q3,Jeff Bezos,Brian Olsavsky
AMZN,2021,Q4,Jeff Bezos,Brian Olsavsky
AMZN,2021,Q1,Andy Jassy,Brian Olsavsky
AMZN,2021,Q2,Andy Jassy,Brian Olsavsky
AMZN,2021,Q3,Andy Jassy,Brian Olsavsky
AMZN,2021,Q4,Andy Jassy,Brian Olsavsky
AMZN,2022,Q1,Andy Jassy,Brian Olsavsky
AMZN,2022,Q2,Andy Jassy,Brian Olsavsky
AMZN,2022,Q3,Andy Jassy,Brian Olsavsky
AMZN,2022,Q4,Andy Jassy,Brian Olsavsky
AMZN,2023,Q1,Andy Jassy,Brian Olsavsky
AMZN,2023,Q2,Andy Jassy,Brian Olsavsky
AMZN,2023,Q3,Andy Jassy,Brian Olsavsky
AMZN,2023,Q4,Andy Jassy,Brian Olsavsky
AMZN,2024,Q1,Andy Jassy,Brian Olsavsky
AMZN,2024,Q2,Andy Jassy,Brian Olsavsky
AMZN,2024,Q3,Andy Jassy,Brian Olsavsky
AMZN,2024,Q4,Andy Jassy,Brian Olsavsky
AMZN,2025,Q1,Andy Jassy,Brian Olsavsky
AMZN,2025,Q2,Andy Jassy,Brian Olsavsky
AMZN,2025,Q3,Andy Jassy,Brian Olsavsky
AMZN,2025,Q4,Andy Jassy,Brian Olsavsky
