Company,Year,Quarter,CEO,CFO
APA,2010,Q1,G. Steven Farris,John A. Crum
APA,2010,Q2,G. Steven Farris,John A. Crum
APA,2010,Q3,G. Steven Farris,John A. Crum
APA,2010,Q4,G. Steven Farris,John A. Crum
APA,2011,Q1,G. Steven Farris,John A. Crum
APA,2011,Q2,G. Steven Farris,John A. Crum
APA,2011,Q3,G. Steven Farris,John A. Crum
APA,2011,Q4,G. Steven Farris,John A. Crum
APA,2012,Q1,G. Steven Farris,John A. Crum
APA,2012,Q2,G. Steven Farris,John A. Crum
APA,2012,Q3,G. Steven Farris,John A. Crum
APA,2012,Q4,G. Steven Farris,John A. Crum
APA,2013,Q1,G. Steven Farris,John A. Crum
APA,2013,Q2,G. Steven Farris,John A. Crum
APA,2013,Q3,G. Steven Farris,John A. Crum
APA,2013,Q4,G. Steven Farris,John A. Crum
APA,2014,Q1,G. Steven Farris,John A. Crum
APA,2014,Q2,G. Steven Farris,John A. Crum
APA,2014,Q3,G. Steven Farris,John A. Crum
APA,2014,Q4,G. Steven Farris,John A. Crum
APA,2015,Q1,John J. Christmann IV,John A. Crum
APA,2015,Q2,John J. Christmann IV,John A. Crum
APA,2015,Q3,John J. Christmann IV,John A. Crum
APA,2015,Q4,John J. Christmann IV,John A. Crum
APA,2016,Q1,John J. Christmann IV,John A. Crum
APA,2016,Q2,John J. Christmann IV,John A. Crum
APA,2016,Q3,John J. Christmann IV,John A. Crum
APA,2016,Q4,John J. Christmann IV,John A. Crum
APA,2017,Q1,John J. Christmann IV,John A. Crum
APA,2017,Q2,John J. Christmann IV,John A. Crum
APA,2017,Q3,John J. Christmann IV,John A. Crum
APA,2017,Q4,John J. Christmann IV,John A. Crum
APA,2018,Q1,John J. Christmann IV,Gary K. Isenberg
APA,2018,Q2,John J. Christmann IV,Gary K. Isenberg
APA,2018,Q3,John J. Christmann IV,Gary K. Isenberg
APA,2018,Q4,John J. Christmann IV,Gary K. Isenberg
APA,2019,Q1,John J. Christmann IV,Gary K. Isenberg
APA,2019,Q2,John J. Christmann IV,Gary K. Isenberg
APA,2019,Q3,John J. Christmann IV,Gary K. Isenberg
APA,2019,Q4,John J. Christmann IV,Gary K. Isenberg
APA,2020,Q1,John J. Christmann IV,Gary K. Isenberg
APA,2020,Q2,John J. Christmann IV,Gary K. Isenberg
APA,2020,Q3,John J. Christmann IV,Gary K. Isenberg
APA,2020,Q4,John J. Christmann IV,Gary K. Isenberg
APA,2021,Q1,John J. Christmann IV,Gary K. Isenberg
APA,2021,Q2,John J. Christmann IV,Gary K. Isenberg
APA,2021,Q3,John J. Christmann IV,Gary K. Isenberg
APA,2021,Q4,John J. Christmann IV,Gary K. Isenberg
APA,2022,Q1,John J. Christmann IV,Gary K. Isenberg
APA,2022,Q2,John J. Christmann IV,Gary K. Isenberg
APA,2022,Q3,John J. Christmann IV,Gary K. Isenberg
APA,2022,Q4,John J. Christmann IV,Gary K. Isenberg
APA,2023,Q1,John J. Christmann IV,Gary K. Isenberg
APA,2023,Q2,John J. Christmann IV,Gary K. Isenberg
APA,2023,Q3,John J. Christmann IV,Gary K. Isenberg
APA,2023,Q4,John J. Christmann IV,Gary K. Isenberg
APA,2024,Q1,John J. Christmann IV,Gary K. Isenberg
APA,2024,Q2,John J. Christmann IV,Gary K. Isenberg
APA,2024,Q3,John J. Christmann IV,Gary K. Isenberg
APA,2024,Q4,John J. Christmann IV,Gary K. Isenberg
APA,2025,Q1,John J. Christmann IV,Gary K. Isenberg
APA,2025,Q2,John J. Christmann IV,Gary K. Isenberg
APA,2025,Q3,John J. Christmann IV,Gary K. Isenberg
APA,2025,Q4,John J. Christmann IV,Gary K. Isenberg
