Company,Year,Quarter,CEO,CFO
BKR,2010,Q1,Chad C. Deaton,Peter A. Ragauss
BKR,2010,Q2,Chad C. Deaton,Peter A. Ragauss
BKR,2010,Q3,Chad C. Deaton,Peter A. Ragauss
BKR,2010,Q4,Chad C. Deaton,Peter A. Ragauss
BKR,2011,Q1,Chad C. Deaton,Peter A. Ragauss
BKR,2011,Q2,Chad C. Deaton,Peter A. Ragauss
BKR,2011,Q3,Chad C. Deaton,Peter A. Ragauss
BKR,2011,Q4,Chad C. Deaton,Peter A. Ragauss
BKR,2012,Q1,Martin Craighead,Peter A. Ragauss
BKR,2012,Q2,Martin Craighead,Peter A. Ragauss
BKR,2012,Q3,Martin Craighead,Peter A. Ragauss
BKR,2012,Q4,Martin Craighead,Peter A. Ragauss
BKR,2013,Q1,Martin Craighead,Peter A. Ragauss
BKR,2013,Q2,Martin Craighead,Peter A. Ragauss
BKR,2013,Q3,Martin Craighead,Peter A. Ragauss
BKR,2013,Q4,Martin Craighead,Peter A. Ragauss
BKR,2014,Q1,Martin Craighead,Peter A. Ragauss
BKR,2014,Q2,Martin Craighead,Peter A. Ragauss
BKR,2014,Q3,Martin Craighead,Peter A. Ragauss
BKR,2014,Q4,Martin Craighead,Peter A. Ragauss
BKR,2015,Q1,Martin Craighead,Peter A. Ragauss
BKR,2015,Q2,Martin Craighead,Peter A. Ragauss
BKR,2015,Q3,Martin Craighead,Peter A. Ragauss
BKR,2015,Q4,Martin Craighead,Peter A. Ragauss
BKR,2016,Q1,Martin Craighead,Patrick J. Mullen
BKR,2016,Q2,Martin Craighead,Patrick J. Mullen
BKR,2016,Q3,Martin Craighead,Patrick J. Mullen
BKR,2016,Q4,Martin Craighead,Patrick J. Mullen
BKR,2017,Q1,Lorenzo Simonelli,Patrick J. Mullen
BKR,2017,Q2,Lorenzo Simonelli,Patrick J. Mullen
BKR,2017,Q3,Lorenzo Simonelli,Patrick J. Mullen
BKR,2017,Q4,Lorenzo Simonelli,Patrick J. Mullen
BKR,2018,Q1,Lorenzo Simonelli,Patrick J. Mullen
BKR,2018,Q2,Lorenzo Simonelli,Patrick J. Mullen
BKR,2018,Q3,Lorenzo Simonelli,Patrick J. Mullen
BKR,2018,Q4,Lorenzo Simonelli,Patrick J. Mullen
BKR,2019,Q1,Lorenzo Simonelli,Brian C. Worrell
BKR,2019,Q2,Lorenzo Simonelli,Brian C. Worrell
BKR,2019,Q3,Lorenzo Simonelli,Brian C. Worrell
BKR,2019,Q4,Lorenzo Simonelli,Brian C. Worrell
BKR,2020,Q1,Lorenzo Simonelli,Brian C. Worrell
BKR,2020,Q2,Lorenzo Simonelli,Brian C. Worrell
BKR,2020,Q3,Lorenzo Simonelli,Brian C. Worrell
BKR,2020,Q4,Lorenzo Simonelli,Brian C. Worrell
BKR,2021,Q1,Lorenzo Simonelli,Brian C. Worrell
BKR,2021,Q2,Lorenzo Simonelli,Brian C. Worrell
BKR,2021,Q3,Lorenzo Simonelli,Brian C. Worrell
BKR,2021,Q4,Lorenzo Simonelli,Brian C. Worrell
BKR,2022,Q1,Lorenzo Simonelli,Brian C. Worrell
BKR,2022,Q2,Lorenzo Simonelli,Brian C. Worrell
BKR,2022,Q3,Lorenzo Simonelli,Brian C. Worrell
BKR,2022,Q4,Lorenzo Simonelli,Brian C. Worrell
BKR,2023,Q1,Lorenzo Simonelli,Brian C. Worrell
BKR,2023,Q2,Lorenzo Simonelli,Brian C. Worrell
BKR,2023,Q3,Lorenzo Simonelli,Brian C. Worrell
BKR,2023,Q4,Lorenzo Simonelli,Brian C. Worrell
BKR,2024,Q1,Lorenzo Simonelli,Brian C. Worrell
BKR,2024,Q2,Lorenzo Simonelli,Brian C. Worrell
BKR,2024,Q3,Lorenzo Simonelli,Brian C. Worrell
BKR,2024,Q4,Lorenzo Simonelli,Brian C. Worrell
BKR,2025,Q1,Lorenzo Simonelli,Brian C. Worrell
BKR,2025,Q2,Lorenzo Simonelli,Brian C. Worrell
BKR,2025,Q3,Lorenzo Simonelli,Brian C. Worrell
BKR,2025,Q4,Lorenzo Simonelli,Brian C. Worrell
