Year,Quarter,CEO,CFO
2010,Q1,Mayo A. Shattuck III,Jonathan W. Thayer
2010,Q2,Mayo A. Shattuck III,Jonathan W. Thayer
2010,Q3,Mayo A. Shattuck III,Jonathan W. Thayer
2010,Q4,Mayo A. Shattuck III,Jonathan W. Thayer
2011,Q1,Mayo A. Shattuck III,Jonathan W. Thayer
2011,Q2,Mayo A. Shattuck III,Jonathan W. Thayer
2011,Q3,Mayo A. Shattuck III,Jonathan W. Thayer
2011,Q4,Mayo A. Shattuck III,Jonathan W. Thayer
2012,Q1,Mayo A. Shattuck III,Jonathan W. Thayer
2012,Q2,Mayo A. Shattuck III,Jonathan W. Thayer
2012,Q3,Mayo A. Shattuck III,Jonathan W. Thayer
2012,Q4,Mayo A. Shattuck III,Jonathan W. Thayer
2013,Q1,Christopher M. Crane,Jonathan W. Thayer
2013,Q2,Christopher M. Crane,Jonathan W. Thayer
2013,Q3,Christopher M. Crane,Jonathan W. Thayer
2013,Q4,Christopher M. Crane,Jonathan W. Thayer
2014,Q1,Christopher M. Crane,Jonathan W. Thayer
2014,Q2,Christopher M. Crane,Jonathan W. Thayer
2014,Q3,Christopher M. Crane,Jonathan W. Thayer
2014,Q4,Christopher M. Crane,Jonathan W. Thayer
2015,Q1,Christopher M. Crane,Jonathan W. Thayer
2015,Q2,Christopher M. Crane,Jonathan W. Thayer
2015,Q3,Christopher M. Crane,Jonathan W. Thayer
2015,Q4,Christopher M. Crane,Jonathan W. Thayer
2016,Q1,Christopher M. Crane,Jonathan W. Thayer
2016,Q2,Christopher M. Crane,Jonathan W. Thayer
2016,Q3,Christopher M. Crane,Jonathan W. Thayer
2016,Q4,Christopher M. Crane,Jonathan W. Thayer
2017,Q1,Christopher M. Crane,Jonathan W. Thayer
2017,Q2,Christopher M. Crane,Jonathan W. Thayer
2017,Q3,Christopher M. Crane,Jonathan W. Thayer
2017,Q4,Christopher M. Crane,Jonathan W. Thayer
2018,Q1,Christopher M. Crane,Jonathan W. Thayer
2018,Q2,Christopher M. Crane,Jonathan W. Thayer
2018,Q3,Christopher M. Crane,Jonathan W. Thayer
2018,Q4,Christopher M. Crane,Jonathan W. Thayer
2019,Q1,Christopher M. Crane,Jonathan W. Thayer
2019,Q2,Christopher M. Crane,Jonathan W. Thayer
2019,Q3,Christopher M. Crane,Jonathan W. Thayer
2019,Q4,Christopher M. Crane,Jonathan W. Thayer
2020,Q1,Christopher M. Crane,Jonathan W. Thayer
2020,Q2,Christopher M. Crane,Jonathan W. Thayer
2020,Q3,Christopher M. Crane,Jonathan W. Thayer
2020,Q4,Christopher M. Crane,Jonathan W. Thayer
2021,Q1,Christopher M. Crane,Jonathan W. Thayer
2021,Q2,Christopher M. Crane,Jonathan W. Thayer
2021,Q3,Christopher M. Crane,Jonathan W. Thayer
2021,Q4,Christopher M. Crane,Jonathan W. Thayer
2022,Q1,Christopher M. Crane,Jonathan W. Thayer
2022,Q2,Christopher M. Crane,Jonathan W. Thayer
2022,Q3,Christopher M. Crane,Jonathan W. Thayer
2022,Q4,Christopher M. Crane,Jonathan W. Thayer
2023,Q1,Christopher M. Crane,Jonathan W. Thayer
2023,Q2,Christopher M. Crane,Jonathan W. Thayer
2023,Q3,Christopher M. Crane,Jonathan W. Thayer
2023,Q4,Christopher M. Crane,Jonathan W. Thayer
2024,Q1,Christopher M. Crane,Jonathan W. Thayer
2024,Q2,Christopher M. Crane,Jonathan W. Thayer
2024,Q3,Christopher M. Crane,Jonathan W. Thayer
2024,Q4,Christopher M. Crane,Jonathan W. Thayer
2025,Q1,Christopher M. Crane,Jonathan W. Thayer
2025,Q2,Christopher M. Crane,Jonathan W. Thayer
2025,Q3,Christopher M. Crane,Jonathan W. Thayer
2025,Q4,Christopher M. Crane,Jonathan W. Thayer
