Company,Year,Quarter,CEO,CFO
CTRA,2010,Q1,Steven Farris,Jon R. Wright
CTRA,2010,Q2,Steven Farris,Jon R. Wright
CTRA,2010,Q3,Steven Farris,Jon R. Wright
CTRA,2010,Q4,Steven Farris,Jon R. Wright
CTRA,2011,Q1,Steven Farris,Jon R. Wright
CTRA,2011,Q2,Steven Farris,Jon R. Wright
CTRA,2011,Q3,Steven Farris,Jon R. Wright
CTRA,2011,Q4,Steven Farris,Jon R. Wright
CTRA,2012,Q1,Steven Farris,Jon R. Wright
CTRA,2012,Q2,Steven Farris,Jon R. Wright
CTRA,2012,Q3,Steven Farris,Jon R. Wright
CTRA,2012,Q4,Steven Farris,Jon R. Wright
CTRA,2013,Q1,Steven Farris,Jon R. Wright
CTRA,2013,Q2,Steven Farris,Jon R. Wright
CTRA,2013,Q3,Steven Farris,Jon R. Wright
CTRA,2013,Q4,Steven Farris,Jon R. Wright
CTRA,2014,Q1,Steven Farris,Jon R. Wright
CTRA,2014,Q2,Steven Farris,Jon R. Wright
CTRA,2014,Q3,Steven Farris,Jon R. Wright
CTRA,2014,Q4,Steven Farris,Jon R. Wright
CTRA,2015,Q1,Jon R. Wright,Jon R. Wright
CTRA,2015,Q2,Jon R. Wright,Jon R. Wright
CTRA,2015,Q3,Jon R. Wright,Jon R. Wright
CTRA,2015,Q4,Jon R. Wright,Jon R. Wright
CTRA,2016,Q1,Jon R. Wright,Jon R. Wright
CTRA,2016,Q2,Jon R. Wright,Jon R. Wright
CTRA,2016,Q3,Jon R. Wright,Jon R. Wright
CTRA,2016,Q4,Jon R. Wright,Jon R. Wright
CTRA,2017,Q1,Jon R. Wright,Jon R. Wright
CTRA,2017,Q2,Jon R. Wright,Jon R. Wright
CTRA,2017,Q3,Jon R. Wright,Jon R. Wright
CTRA,2017,Q4,Jon R. Wright,Jon R. Wright
CTRA,2018,Q1,Jon R. Wright,Jon R. Wright
CTRA,2018,Q2,Jon R. Wright,Jon R. Wright
CTRA,2018,Q3,Jon R. Wright,Jon R. Wright
CTRA,2018,Q4,Jon R. Wright,Jon R. Wright
CTRA,2019,Q1,Jon R. Wright,Christopher M. Cox
CTRA,2019,Q2,Jon R. Wright,Christopher M. Cox
CTRA,2019,Q3,Jon R. Wright,Christopher M. Cox
CTRA,2019,Q4,Jon R. Wright,Christopher M. Cox
CTRA,2020,Q1,Thomas E. Jorden,Christopher M. Cox
CTRA,2020,Q2,Thomas E. Jorden,Christopher M. Cox
CTRA,2020,Q3,Thomas E. Jorden,Christopher M. Cox
CTRA,2020,Q4,Thomas E. Jorden,Christopher M. Cox
CTRA,2021,Q1,Thomas E. Jorden,Christopher M. Cox
CTRA,2021,Q2,Thomas E. Jorden,Christopher M. Cox
CTRA,2021,Q3,Thomas E. Jorden,Christopher M. Cox
CTRA,2021,Q4,Thomas E. Jorden,Christopher M. Cox
CTRA,2022,Q1,Thomas E. Jorden,Christopher M. Cox
CTRA,2022,Q2,Thomas E. Jorden,Christopher M. Cox
CTRA,2022,Q3,Thomas E. Jorden,Christopher M. Cox
CTRA,2022,Q4,Thomas E. Jorden,Christopher M. Cox
CTRA,2023,Q1,Thomas E. Jorden,Christopher M. Cox
CTRA,2023,Q2,Thomas E. Jorden,Christopher M. Cox
CTRA,2023,Q3,Thomas E. Jorden,Christopher M. Cox
CTRA,2023,Q4,Thomas E. Jorden,Christopher M. Cox
CTRA,2024,Q1,Thomas E. Jorden,Christopher M. Cox
CTRA,2024,Q2,Thomas E. Jorden,Christopher M. Cox
CTRA,2024,Q3,Thomas E. Jorden,Christopher M. Cox
CTRA,2024,Q4,Thomas E. Jorden,Christopher M. Cox
CTRA,2025,Q1,Thomas E. Jorden,Christopher M. Cox
CTRA,2025,Q2,Thomas E. Jorden,Christopher M. Cox
CTRA,2025,Q3,Thomas E. Jorden,Christopher M. Cox
CTRA,2025,Q4,Thomas E. Jorden,Christopher M. Cox
