Company,Year,Quarter,CEO,CFO
CVX,2010,Q1,John S. Watson,Patricia E. Yarrington
CVX,2010,Q2,John S. Watson,Patricia E. Yarrington
CVX,2010,Q3,John S. Watson,Patricia E. Yarrington
CVX,2010,Q4,John S. Watson,Patricia E. Yarrington
CVX,2011,Q1,John S. Watson,Patricia E. Yarrington
CVX,2011,Q2,John S. Watson,Patricia E. Yarrington
CVX,2011,Q3,John S. Watson,Patricia E. Yarrington
CVX,2011,Q4,John S. Watson,Patricia E. Yarrington
CVX,2012,Q1,John S. Watson,Patricia E. Yarrington
CVX,2012,Q2,John S. Watson,Patricia E. Yarrington
CVX,2012,Q3,John S. Watson,Patricia E. Yarrington
CVX,2012,Q4,John S. Watson,Patricia E. Yarrington
CVX,2013,Q1,John S. Watson,Patricia E. Yarrington
CVX,2013,Q2,John S. Watson,Patricia E. Yarrington
CVX,2013,Q3,John S. Watson,Patricia E. Yarrington
CVX,2013,Q4,John S. Watson,Patricia E. Yarrington
CVX,2014,Q1,John S. Watson,Patricia E. Yarrington
CVX,2014,Q2,John S. Watson,Patricia E. Yarrington
CVX,2014,Q3,John S. Watson,Patricia E. Yarrington
CVX,2014,Q4,John S. Watson,Patricia E. Yarrington
CVX,2015,Q1,John S. Watson,Patricia E. Yarrington
CVX,2015,Q2,John S. Watson,Patricia E. Yarrington
CVX,2015,Q3,John S. Watson,Patricia E. Yarrington
CVX,2015,Q4,John S. Watson,Patricia E. Yarrington
CVX,2016,Q1,John S. Watson,Patricia E. Yarrington
CVX,2016,Q2,John S. Watson,Patricia E. Yarrington
CVX,2016,Q3,John S. Watson,Patricia E. Yarrington
CVX,2016,Q4,John S. Watson,Patricia E. Yarrington
CVX,2017,Q1,John S. Watson,Patricia E. Yarrington
CVX,2017,Q2,John S. Watson,Patricia E. Yarrington
CVX,2017,Q3,John S. Watson,Patricia E. Yarrington
CVX,2017,Q4,John S. Watson,Patricia E. Yarrington
CVX,2017,Q1,Michael K. Wirth,Patricia E. Yarrington
CVX,2017,Q2,Michael K. Wirth,Patricia E. Yarrington
CVX,2017,Q3,Michael K. Wirth,Patricia E. Yarrington
CVX,2017,Q4,Michael K. Wirth,Patricia E. Yarrington
CVX,2018,Q1,Michael K. Wirth,Patricia E. Yarrington
CVX,2018,Q2,Michael K. Wirth,Patricia E. Yarrington
CVX,2018,Q3,Michael K. Wirth,Patricia E. Yarrington
CVX,2018,Q4,Michael K. Wirth,Patricia E. Yarrington
CVX,2019,Q1,Michael K. Wirth,Pierre R. Breber
CVX,2019,Q2,Michael K. Wirth,Pierre R. Breber
CVX,2019,Q3,Michael K. Wirth,Pierre R. Breber
CVX,2019,Q4,Michael K. Wirth,Pierre R. Breber
CVX,2020,Q1,Michael K. Wirth,Pierre R. Breber
CVX,2020,Q2,Michael K. Wirth,Pierre R. Breber
CVX,2020,Q3,Michael K. Wirth,Pierre R. Breber
CVX,2020,Q4,Michael K. Wirth,Pierre R. Breber
CVX,2021,Q1,Michael K. Wirth,Pierre R. Breber
CVX,2021,Q2,Michael K. Wirth,Pierre R. Breber
CVX,2021,Q3,Michael K. Wirth,Pierre R. Breber
CVX,2021,Q4,Michael K. Wirth,Pierre R. Breber
CVX,2022,Q1,Michael K. Wirth,Pierre R. Breber
CVX,2022,Q2,Michael K. Wirth,Pierre R. Breber
CVX,2022,Q3,Michael K. Wirth,Pierre R. Breber
CVX,2022,Q4,Michael K. Wirth,Pierre R. Breber
CVX,2023,Q1,Michael K. Wirth,Pierre R. Breber
CVX,2023,Q2,Michael K. Wirth,Pierre R. Breber
CVX,2023,Q3,Michael K. Wirth,Pierre R. Breber
CVX,2023,Q4,Michael K. Wirth,Pierre R. Breber
CVX,2024,Q1,Michael K. Wirth,Pierre R. Breber
CVX,2024,Q2,Michael K. Wirth,Pierre R. Breber
CVX,2024,Q3,Michael K. Wirth,Pierre R. Breber
CVX,2024,Q4,Michael K. Wirth,Pierre R. Breber
CVX,2025,Q1,Michael K. Wirth,Pierre R. Breber
CVX,2025,Q2,Michael K. Wirth,Pierre R. Breber
CVX,2025,Q3,Michael K. Wirth,Pierre R. Breber
CVX,2025,Q4,Michael K. Wirth,Pierre R. Breber
