Company,Year,Quarter,CEO,CFO
DVN,2010,Q1,Larry R. Nichols,David A. Hager
DVN,2010,Q2,Larry R. Nichols,David A. Hager
DVN,2010,Q3,Larry R. Nichols,David A. Hager
DVN,2010,Q4,Larry R. Nichols,David A. Hager
DVN,2011,Q1,Larry R. Nichols,David A. Hager
DVN,2011,Q2,Larry R. Nichols,David A. Hager
DVN,2011,Q3,Larry R. Nichols,David A. Hager
DVN,2011,Q4,Larry R. Nichols,David A. Hager
DVN,2012,Q1,John E. Richels,David A. Hager
DVN,2012,Q2,John E. Richels,David A. Hager
DVN,2012,Q3,John E. Richels,David A. Hager
DVN,2012,Q4,John E. Richels,David A. Hager
DVN,2013,Q1,John E. Richels,David A. Hager
DVN,2013,Q2,John E. Richels,David A. Hager
DVN,2013,Q3,John E. Richels,David A. Hager
DVN,2013,Q4,John E. Richels,David A. Hager
DVN,2014,Q1,John E. Richels,David A. Hager
DVN,2014,Q2,John E. Richels,David A. Hager
DVN,2014,Q3,John E. Richels,David A. Hager
DVN,2014,Q4,John E. Richels,David A. Hager
DVN,2015,Q1,David A. Hager,Tony Vaughn
DVN,2015,Q2,David A. Hager,Tony Vaughn
DVN,2015,Q3,David A. Hager,Tony Vaughn
DVN,2015,Q4,David A. Hager,Tony Vaughn
DVN,2016,Q1,David A. Hager,Tony Vaughn
DVN,2016,Q2,David A. Hager,Tony Vaughn
DVN,2016,Q3,David A. Hager,Tony Vaughn
DVN,2016,Q4,David A. Hager,Tony Vaughn
DVN,2017,Q1,David A. Hager,Tony Vaughn
DVN,2017,Q2,David A. Hager,Tony Vaughn
DVN,2017,Q3,David A. Hager,Tony Vaughn
DVN,2017,Q4,David A. Hager,Tony Vaughn
DVN,2018,Q1,David A. Hager,Tony Vaughn
DVN,2018,Q2,David A. Hager,Tony Vaughn
DVN,2018,Q3,David A. Hager,Tony Vaughn
DVN,2018,Q4,David A. Hager,Tony Vaughn
DVN,2019,Q1,David A. Hager,Jeff Ritenour
DVN,2019,Q2,David A. Hager,Jeff Ritenour
DVN,2019,Q3,David A. Hager,Jeff Ritenour
DVN,2019,Q4,David A. Hager,Jeff Ritenour
DVN,2020,Q1,David A. Hager,Jeff Ritenour
DVN,2020,Q2,David A. Hager,Jeff Ritenour
DVN,2020,Q3,David A. Hager,Jeff Ritenour
DVN,2020,Q4,David A. Hager,Jeff Ritenour
DVN,2021,Q1,Rickhard E. Muncrief,Jeff Ritenour
DVN,2021,Q2,Rickhard E. Muncrief,Jeff Ritenour
DVN,2021,Q3,Rickhard E. Muncrief,Jeff Ritenour
DVN,2021,Q4,Rickhard E. Muncrief,Jeff Ritenour
DVN,2022,Q1,Rickhard E. Muncrief,Jeff Ritenour
DVN,2022,Q2,Rickhard E. Muncrief,Jeff Ritenour
DVN,2022,Q3,Rickhard E. Muncrief,Jeff Ritenour
DVN,2022,Q4,Rickhard E. Muncrief,Jeff Ritenour
DVN,2023,Q1,Rickhard E. Muncrief,Jeff Ritenour
DVN,2023,Q2,Rickhard E. Muncrief,Jeff Ritenour
DVN,2023,Q3,Rickhard E. Muncrief,Jeff Ritenour
DVN,2023,Q4,Rickhard E. Muncrief,Jeff Ritenour
DVN,2024,Q1,Rickhard E. Muncrief,Jeff Ritenour
DVN,2024,Q2,Rickhard E. Muncrief,Jeff Ritenour
DVN,2024,Q3,Rickhard E. Muncrief,Jeff Ritenour
DVN,2024,Q4,Rickhard E. Muncrief,Jeff Ritenour
DVN,2025,Q1,Rickhard E. Muncrief,Jeff Ritenour
DVN,2025,Q2,Rickhard E. Muncrief,Jeff Ritenour
DVN,2025,Q3,Rickhard E. Muncrief,Jeff Ritenour
DVN,2025,Q4,Rickhard E. Muncrief,Jeff Ritenour
