Company,Year,Quarter,CEO,CFO
EOG,2010,Q1,Mark G. Papa,J. Loyd Lunceford
EOG,2010,Q2,Mark G. Papa,J. Loyd Lunceford
EOG,2010,Q3,Mark G. Papa,J. Loyd Lunceford
EOG,2010,Q4,Mark G. Papa,J. Loyd Lunceford
EOG,2011,Q1,Mark G. Papa,J. Loyd Lunceford
EOG,2011,Q2,Mark G. Papa,J. Loyd Lunceford
EOG,2011,Q3,Mark G. Papa,J. Loyd Lunceford
EOG,2011,Q4,Mark G. Papa,J. Loyd Lunceford
EOG,2012,Q1,Mark G. Papa,J. Loyd Lunceford
EOG,2012,Q2,Mark G. Papa,J. Loyd Lunceford
EOG,2012,Q3,Mark G. Papa,J. Loyd Lunceford
EOG,2012,Q4,Mark G. Papa,J. Loyd Lunceford
EOG,2013,Q1,William R. Thomas,J. Loyd Lunceford
EOG,2013,Q2,William R. Thomas,J. Loyd Lunceford
EOG,2013,Q3,William R. Thomas,J. Loyd Lunceford
EOG,2013,Q4,William R. Thomas,J. Loyd Lunceford
EOG,2014,Q1,William R. Thomas,J. Loyd Lunceford
EOG,2014,Q2,William R. Thomas,J. Loyd Lunceford
EOG,2014,Q3,William R. Thomas,J. Loyd Lunceford
EOG,2014,Q4,William R. Thomas,J. Loyd Lunceford
EOG,2015,Q1,William R. Thomas,J. Loyd Lunceford
EOG,2015,Q2,William R. Thomas,J. Loyd Lunceford
EOG,2015,Q3,William R. Thomas,J. Loyd Lunceford
EOG,2015,Q4,William R. Thomas,J. Loyd Lunceford
EOG,2016,Q1,William R. Thomas,J. Loyd Lunceford
EOG,2016,Q2,William R. Thomas,J. Loyd Lunceford
EOG,2016,Q3,William R. Thomas,J. Loyd Lunceford
EOG,2016,Q4,William R. Thomas,J. Loyd Lunceford
EOG,2017,Q1,William R. Thomas,Timothy K. Driggers
EOG,2017,Q2,William R. Thomas,Timothy K. Driggers
EOG,2017,Q3,William R. Thomas,Timothy K. Driggers
EOG,2017,Q4,William R. Thomas,Timothy K. Driggers
EOG,2018,Q1,William R. Thomas,Timothy K. Driggers
EOG,2018,Q2,William R. Thomas,Timothy K. Driggers
EOG,2018,Q3,William R. Thomas,Timothy K. Driggers
EOG,2018,Q4,William R. Thomas,Timothy K. Driggers
EOG,2019,Q1,William R. Thomas,Timothy K. Driggers
EOG,2019,Q2,William R. Thomas,Timothy K. Driggers
EOG,2019,Q3,William R. Thomas,Timothy K. Driggers
EOG,2019,Q4,William R. Thomas,Timothy K. Driggers
EOG,2020,Q1,William R. Thomas,Timothy K. Driggers
EOG,2020,Q2,William R. Thomas,Timothy K. Driggers
EOG,2020,Q3,William R. Thomas,Timothy K. Driggers
EOG,2020,Q4,William R. Thomas,Timothy K. Driggers
EOG,2021,Q1,William R. Thomas,Timothy K. Driggers
EOG,2021,Q2,William R. Thomas,Timothy K. Driggers
EOG,2021,Q3,William R. Thomas,Timothy K. Driggers
EOG,2021,Q4,William R. Thomas,Timothy K. Driggers
EOG,2021,Q1,Ezra T. Yacob,Timothy K. Driggers
EOG,2021,Q2,Ezra T. Yacob,Timothy K. Driggers
EOG,2021,Q3,Ezra T. Yacob,Timothy K. Driggers
EOG,2021,Q4,Ezra T. Yacob,Timothy K. Driggers
EOG,2022,Q1,Ezra T. Yacob,Timothy K. Driggers
EOG,2022,Q2,Ezra T. Yacob,Timothy K. Driggers
EOG,2022,Q3,Ezra T. Yacob,Timothy K. Driggers
EOG,2022,Q4,Ezra T. Yacob,Timothy K. Driggers
EOG,2023,Q1,Ezra T. Yacob,Timothy K. Driggers
EOG,2023,Q2,Ezra T. Yacob,Timothy K. Driggers
EOG,2023,Q3,Ezra T. Yacob,Timothy K. Driggers
EOG,2023,Q4,Ezra T. Yacob,Timothy K. Driggers
EOG,2024,Q1,Ezra T. Yacob,Timothy K. Driggers
EOG,2024,Q2,Ezra T. Yacob,Timothy K. Driggers
EOG,2024,Q3,Ezra T. Yacob,Timothy K. Driggers
EOG,2024,Q4,Ezra T. Yacob,Timothy K. Driggers
EOG,2025,Q1,Ezra T. Yacob,Timothy K. Driggers
EOG,2025,Q2,Ezra T. Yacob,Timothy K. Driggers
EOG,2025,Q3,Ezra T. Yacob,Timothy K. Driggers
EOG,2025,Q4,Ezra T. Yacob,Timothy K. Driggers
