Company,Year,Quarter,CEO,CFO
EQT,2010,Q1,Murry S. Gerber,David L. Porges
EQT,2010,Q2,Murry S. Gerber,David L. Porges
EQT,2010,Q3,Murry S. Gerber,David L. Porges
EQT,2010,Q4,Murry S. Gerber,David L. Porges
EQT,2011,Q1,Murry S. Gerber,David L. Porges
EQT,2011,Q2,Murry S. Gerber,David L. Porges
EQT,2011,Q3,Murry S. Gerber,David L. Porges
EQT,2011,Q4,Murry S. Gerber,David L. Porges
EQT,2012,Q1,Murry S. Gerber,David L. Porges
EQT,2012,Q2,Murry S. Gerber,David L. Porges
EQT,2012,Q3,Murry S. Gerber,David L. Porges
EQT,2012,Q4,Murry S. Gerber,David L. Porges
EQT,2013,Q1,David L. Porges,David L. Porges
EQT,2013,Q2,David L. Porges,David L. Porges
EQT,2013,Q3,David L. Porges,David L. Porges
EQT,2013,Q4,David L. Porges,David L. Porges
EQT,2014,Q1,David L. Porges,David L. Porges
EQT,2014,Q2,David L. Porges,David L. Porges
EQT,2014,Q3,David L. Porges,David L. Porges
EQT,2014,Q4,David L. Porges,David L. Porges
EQT,2015,Q1,David L. Porges,David L. Porges
EQT,2015,Q2,David L. Porges,David L. Porges
EQT,2015,Q3,David L. Porges,David L. Porges
EQT,2015,Q4,David L. Porges,David L. Porges
EQT,2016,Q1,David L. Porges,David L. Porges
EQT,2016,Q2,David L. Porges,David L. Porges
EQT,2016,Q3,David L. Porges,David L. Porges
EQT,2016,Q4,David L. Porges,David L. Porges
EQT,2017,Q1,David L. Porges,David L. Porges
EQT,2017,Q2,David L. Porges,David L. Porges
EQT,2017,Q3,David L. Porges,David L. Porges
EQT,2017,Q4,David L. Porges,David L. Porges
EQT,2018,Q1,Steven T. Schlotterbeck,David L. Porges
EQT,2018,Q2,Steven T. Schlotterbeck,David L. Porges
EQT,2018,Q3,Steven T. Schlotterbeck,David L. Porges
EQT,2018,Q4,Steven T. Schlotterbeck,David L. Porges
EQT,2018,Q1,Robert J. McNally (Interim),David L. Porges
EQT,2018,Q2,Robert J. McNally (Interim),David L. Porges
EQT,2018,Q3,Robert J. McNally (Interim),David L. Porges
EQT,2018,Q4,Robert J. McNally (Interim),David L. Porges
EQT,2018,Q1,Thomas F. Karam,David L. Porges
EQT,2018,Q2,Thomas F. Karam,David L. Porges
EQT,2018,Q3,Thomas F. Karam,David L. Porges
EQT,2018,Q4,Thomas F. Karam,David L. Porges
EQT,2019,Q1,Thomas F. Karam,David L. Porges
EQT,2019,Q2,Thomas F. Karam,David L. Porges
EQT,2019,Q3,Thomas F. Karam,David L. Porges
EQT,2019,Q4,Thomas F. Karam,David L. Porges
EQT,2020,Q1,Toby Z. Rice,David L. Porges/Kyle Derham
EQT,2020,Q2,Toby Z. Rice,David L. Porges/Kyle Derham
EQT,2020,Q3,Toby Z. Rice,David L. Porges/Kyle Derham
EQT,2020,Q4,Toby Z. Rice,David L. Porges/Kyle Derham
EQT,2021,Q1,Toby Z. Rice,Kyle Derham
EQT,2021,Q2,Toby Z. Rice,Kyle Derham
EQT,2021,Q3,Toby Z. Rice,Kyle Derham
EQT,2021,Q4,Toby Z. Rice,Kyle Derham
EQT,2022,Q1,Toby Z. Rice,Kyle Derham
EQT,2022,Q2,Toby Z. Rice,Kyle Derham
EQT,2022,Q3,Toby Z. Rice,Kyle Derham
EQT,2022,Q4,Toby Z. Rice,Kyle Derham
EQT,2023,Q1,Toby Z. Rice,Kyle Derham
EQT,2023,Q2,Toby Z. Rice,Kyle Derham
EQT,2023,Q3,Toby Z. Rice,Kyle Derham
EQT,2023,Q4,Toby Z. Rice,Kyle Derham
EQT,2024,Q1,Toby Z. Rice,Kyle Derham
EQT,2024,Q2,Toby Z. Rice,Kyle Derham
EQT,2024,Q3,Toby Z. Rice,Kyle Derham
EQT,2024,Q4,Toby Z. Rice,Kyle Derham
EQT,2025,Q1,Toby Z. Rice,Kyle Derham
EQT,2025,Q2,Toby Z. Rice,Kyle Derham
EQT,2025,Q3,Toby Z. Rice,Kyle Derham
EQT,2025,Q4,Toby Z. Rice,Kyle Derham
