Company,Year,Quarter,CEO,CFO
GOOG,2010,Q1,Eric Schmidt,Patrick Pichette
GOOG,2010,Q2,Eric Schmidt,Patrick Pichette
GOOG,2010,Q3,Eric Schmidt,Patrick Pichette
GOOG,2010,Q4,Eric Schmidt,Patrick Pichette
GOOG,2011,Q1,Larry Page,Patrick Pichette
GOOG,2011,Q2,Larry Page,Patrick Pichette
GOOG,2011,Q3,Larry Page,Patrick Pichette
GOOG,2011,Q4,Larry Page,Patrick Pichette
GOOG,2012,Q1,Larry Page,Patrick Pichette
GOOG,2012,Q2,Larry Page,Patrick Pichette
GOOG,2012,Q3,Larry Page,Patrick Pichette
GOOG,2012,Q4,Larry Page,Patrick Pichette
GOOG,2013,Q1,Larry Page,Patrick Pichette
GOOG,2013,Q2,Larry Page,Patrick Pichette
GOOG,2013,Q3,Larry Page,Patrick Pichette
GOOG,2013,Q4,Larry Page,Patrick Pichette
GOOG,2014,Q1,Larry Page,Patrick Pichette
GOOG,2014,Q2,Larry Page,Patrick Pichette
GOOG,2014,Q3,Larry Page,Patrick Pichette
GOOG,2014,Q4,Larry Page,Patrick Pichette
GOOG,2015,Q1,Larry Page,Patrick Pichette/Ruth Porat
GOOG,2015,Q2,Larry Page,Patrick Pichette/Ruth Porat
GOOG,2015,Q3,Larry Page,Patrick Pichette/Ruth Porat
GOOG,2015,Q4,Larry Page,Patrick Pichette/Ruth Porat
GOOG,2016,Q1,Larry Page,Ruth Porat
GOOG,2016,Q2,Larry Page,Ruth Porat
GOOG,2016,Q3,Larry Page,Ruth Porat
GOOG,2016,Q4,Larry Page,Ruth Porat
GOOG,2017,Q1,Larry Page,Ruth Porat
GOOG,2017,Q2,Larry Page,Ruth Porat
GOOG,2017,Q3,Larry Page,Ruth Porat
GOOG,2017,Q4,Larry Page,Ruth Porat
GOOG,2018,Q1,Larry Page,Ruth Porat
GOOG,2018,Q2,Larry Page,Ruth Porat
GOOG,2018,Q3,Larry Page,Ruth Porat
GOOG,2018,Q4,Larry Page,Ruth Porat
GOOG,2019,Q1,Sundar Pichai,Ruth Porat
GOOG,2019,Q2,Sundar Pichai,Ruth Porat
GOOG,2019,Q3,Sundar Pichai,Ruth Porat
GOOG,2019,Q4,Sundar Pichai,Ruth Porat
GOOG,2020,Q1,Sundar Pichai,Ruth Porat
GOOG,2020,Q2,Sundar Pichai,Ruth Porat
GOOG,2020,Q3,Sundar Pichai,Ruth Porat
GOOG,2020,Q4,Sundar Pichai,Ruth Porat
GOOG,2021,Q1,Sundar Pichai,Ruth Porat
GOOG,2021,Q2,Sundar Pichai,Ruth Porat
GOOG,2021,Q3,Sundar Pichai,Ruth Porat
GOOG,2021,Q4,Sundar Pichai,Ruth Porat
GOOG,2022,Q1,Sundar Pichai,Ruth Porat
GOOG,2022,Q2,Sundar Pichai,Ruth Porat
GOOG,2022,Q3,Sundar Pichai,Ruth Porat
GOOG,2022,Q4,Sundar Pichai,Ruth Porat
GOOG,2023,Q1,Sundar Pichai,Ruth Porat
GOOG,2023,Q2,Sundar Pichai,Ruth Porat
GOOG,2023,Q3,Sundar Pichai,Ruth Porat
GOOG,2023,Q4,Sundar Pichai,Ruth Porat
GOOG,2024,Q1,Sundar Pichai,Ruth Porat/Anat Ashkenazi
GOOG,2024,Q2,Sundar Pichai,Ruth Porat/Anat Ashkenazi
GOOG,2024,Q3,Sundar Pichai,Ruth Porat/Anat Ashkenazi
GOOG,2024,Q4,Sundar Pichai,Ruth Porat/Anat Ashkenazi
GOOG,2024,Q1,Sundar Pichai,Anat Ashkenazi
GOOG,2024,Q2,Sundar Pichai,Anat Ashkenazi
GOOG,2024,Q3,Sundar Pichai,Anat Ashkenazi
GOOG,2024,Q4,Sundar Pichai,Anat Ashkenazi
GOOG,2025,Q1,Sundar Pichai,Anat Ashkenazi
GOOG,2025,Q2,Sundar Pichai,Anat Ashkenazi
GOOG,2025,Q3,Sundar Pichai,Anat Ashkenazi
GOOG,2025,Q4,Sundar Pichai,Anat Ashkenazi
