Company,Year,Quarter,CEO,CFO
HAL,2010,Q1,Dave Lesar,Mark A. McCollum
HAL,2010,Q2,Dave Lesar,Mark A. McCollum
HAL,2010,Q3,Dave Lesar,Mark A. McCollum
HAL,2010,Q4,Dave Lesar,Mark A. McCollum
HAL,2011,Q1,Dave Lesar,Mark A. McCollum
HAL,2011,Q2,Dave Lesar,Mark A. McCollum
HAL,2011,Q3,Dave Lesar,Mark A. McCollum
HAL,2011,Q4,Dave Lesar,Mark A. McCollum
HAL,2012,Q1,Dave Lesar,Mark A. McCollum
HAL,2012,Q2,Dave Lesar,Mark A. McCollum
HAL,2012,Q3,Dave Lesar,Mark A. McCollum
HAL,2012,Q4,Dave Lesar,Mark A. McCollum
HAL,2013,Q1,Dave Lesar,Mark A. McCollum
HAL,2013,Q2,Dave Lesar,Mark A. McCollum
HAL,2013,Q3,Dave Lesar,Mark A. McCollum
HAL,2013,Q4,Dave Lesar,Mark A. McCollum
HAL,2014,Q1,Dave Lesar,Mark A. McCollum
HAL,2014,Q2,Dave Lesar,Mark A. McCollum
HAL,2014,Q3,Dave Lesar,Mark A. McCollum
HAL,2014,Q4,Dave Lesar,Mark A. McCollum
HAL,2015,Q1,Dave Lesar,Christian A. Garcia
HAL,2015,Q2,Dave Lesar,Christian A. Garcia
HAL,2015,Q3,Dave Lesar,Christian A. Garcia
HAL,2015,Q4,Dave Lesar,Christian A. Garcia
HAL,2016,Q1,Dave Lesar,Mark A. McCollum
HAL,2016,Q2,Dave Lesar,Mark A. McCollum
HAL,2016,Q3,Dave Lesar,Mark A. McCollum
HAL,2016,Q4,Dave Lesar,Mark A. McCollum
HAL,2017,Q1,Dave Lesar,Chris Weber
HAL,2017,Q2,Dave Lesar,Chris Weber
HAL,2017,Q3,Dave Lesar,Chris Weber
HAL,2017,Q4,Dave Lesar,Chris Weber
HAL,2018,Q1,Jeff Miller,Lance Loeffler
HAL,2018,Q2,Jeff Miller,Lance Loeffler
HAL,2018,Q3,Jeff Miller,Lance Loeffler
HAL,2018,Q4,Jeff Miller,Lance Loeffler
HAL,2019,Q1,Jeff Miller,Lance Loeffler
HAL,2019,Q2,Jeff Miller,Lance Loeffler
HAL,2019,Q3,Jeff Miller,Lance Loeffler
HAL,2019,Q4,Jeff Miller,Lance Loeffler
HAL,2020,Q1,Jeff Miller,Lance Loeffler
HAL,2020,Q2,Jeff Miller,Lance Loeffler
HAL,2020,Q3,Jeff Miller,Lance Loeffler
HAL,2020,Q4,Jeff Miller,Lance Loeffler
HAL,2021,Q1,Jeff Miller,Lance Loeffler
HAL,2021,Q2,Jeff Miller,Lance Loeffler
HAL,2021,Q3,Jeff Miller,Lance Loeffler
HAL,2021,Q4,Jeff Miller,Lance Loeffler
HAL,2022,Q1,Jeff Miller,Eric Carre
HAL,2022,Q2,Jeff Miller,Eric Carre
HAL,2022,Q3,Jeff Miller,Eric Carre
HAL,2022,Q4,Jeff Miller,Eric Carre
HAL,2023,Q1,Jeff Miller,Eric Carre
HAL,2023,Q2,Jeff Miller,Eric Carre
HAL,2023,Q3,Jeff Miller,Eric Carre
HAL,2023,Q4,Jeff Miller,Eric Carre
HAL,2024,Q1,Jeff Miller,Erric Carre
HAL,2024,Q2,Jeff Miller,Erric Carre
HAL,2024,Q3,Jeff Miller,Erric Carre
HAL,2024,Q4,Jeff Miller,Erric Carre
HAL,2025,Q1,Jeff Miller,Lance Loeffler
HAL,2025,Q2,Jeff Miller,Lance Loeffler
HAL,2025,Q3,Jeff Miller,Lance Loeffler
HAL,2025,Q4,Jeff Miller,Lance Loeffler
