Company,Year,Quarter,CEO,CFO
IBM,2010,Q1,Samuel J. Palmisano,Mark Loughridge
IBM,2010,Q2,Samuel J. Palmisano,Mark Loughridge
IBM,2010,Q3,Samuel J. Palmisano,Mark Loughridge
IBM,2010,Q4,Samuel J. Palmisano,Mark Loughridge
IBM,2011,Q1,Samuel J. Palmisano,Mark Loughridge
IBM,2011,Q2,Samuel J. Palmisano,Mark Loughridge
IBM,2011,Q3,Samuel J. Palmisano,Mark Loughridge
IBM,2011,Q4,Samuel J. Palmisano,Mark Loughridge
IBM,2012,Q1,Virginia M. Rometty,Mark Loughridge
IBM,2012,Q2,Virginia M. Rometty,Mark Loughridge
IBM,2012,Q3,Virginia M. Rometty,Mark Loughridge
IBM,2012,Q4,Virginia M. Rometty,Mark Loughridge
IBM,2013,Q1,Virginia M. Rometty,Mark Loughridge
IBM,2013,Q2,Virginia M. Rometty,Mark Loughridge
IBM,2013,Q3,Virginia M. Rometty,Mark Loughridge
IBM,2013,Q4,Virginia M. Rometty,Mark Loughridge
IBM,2014,Q1,Virginia M. Rometty,Martin Schroeter
IBM,2014,Q2,Virginia M. Rometty,Martin Schroeter
IBM,2014,Q3,Virginia M. Rometty,Martin Schroeter
IBM,2014,Q4,Virginia M. Rometty,Martin Schroeter
IBM,2015,Q1,Virginia M. Rometty,Martin Schroeter
IBM,2015,Q2,Virginia M. Rometty,Martin Schroeter
IBM,2015,Q3,Virginia M. Rometty,Martin Schroeter
IBM,2015,Q4,Virginia M. Rometty,Martin Schroeter
IBM,2016,Q1,Virginia M. Rometty,Martin Schroeter
IBM,2016,Q2,Virginia M. Rometty,Martin Schroeter
IBM,2016,Q3,Virginia M. Rometty,Martin Schroeter
IBM,2016,Q4,Virginia M. Rometty,Martin Schroeter
IBM,2017,Q1,Virginia M. Rometty,James Kavanaugh
IBM,2017,Q2,Virginia M. Rometty,James Kavanaugh
IBM,2017,Q3,Virginia M. Rometty,James Kavanaugh
IBM,2017,Q4,Virginia M. Rometty,James Kavanaugh
IBM,2018,Q1,Virginia M. Rometty,James Kavanaugh
IBM,2018,Q2,Virginia M. Rometty,James Kavanaugh
IBM,2018,Q3,Virginia M. Rometty,James Kavanaugh
IBM,2018,Q4,Virginia M. Rometty,James Kavanaugh
IBM,2019,Q1,Virginia M. Rometty,James Kavanaugh
IBM,2019,Q2,Virginia M. Rometty,James Kavanaugh
IBM,2019,Q3,Virginia M. Rometty,James Kavanaugh
IBM,2019,Q4,Virginia M. Rometty,James Kavanaugh
IBM,2020,Q1,Arvind Krishna,James Kavanaugh
IBM,2020,Q2,Arvind Krishna,James Kavanaugh
IBM,2020,Q3,Arvind Krishna,James Kavanaugh
IBM,2020,Q4,Arvind Krishna,James Kavanaugh
IBM,2021,Q1,Arvind Krishna,James Kavanaugh
IBM,2021,Q2,Arvind Krishna,James Kavanaugh
IBM,2021,Q3,Arvind Krishna,James Kavanaugh
IBM,2021,Q4,Arvind Krishna,James Kavanaugh
IBM,2022,Q1,Arvind Krishna,James Kavanaugh
IBM,2022,Q2,Arvind Krishna,James Kavanaugh
IBM,2022,Q3,Arvind Krishna,James Kavanaugh
IBM,2022,Q4,Arvind Krishna,James Kavanaugh
IBM,2023,Q1,Arvind Krishna,James Kavanaugh
IBM,2023,Q2,Arvind Krishna,James Kavanaugh
IBM,2023,Q3,Arvind Krishna,James Kavanaugh
IBM,2023,Q4,Arvind Krishna,James Kavanaugh
IBM,2024,Q1,Arvind Krishna,James Kavanaugh
IBM,2024,Q2,Arvind Krishna,James Kavanaugh
IBM,2024,Q3,Arvind Krishna,James Kavanaugh
IBM,2024,Q4,Arvind Krishna,James Kavanaugh
IBM,2025,Q1,Arvind Krishna,James Kavanaugh
IBM,2025,Q2,Arvind Krishna,James Kavanaugh
IBM,2025,Q3,Arvind Krishna,James Kavanaugh
IBM,2025,Q4,Arvind Krishna,James Kavanaugh
