Year,Quarter,CEO,CFO
2010,Q1,Paul Otellini,Stacy J. Smith
2010,Q2,Paul Otellini,Stacy J. Smith
2010,Q3,Paul Otellini,Stacy J. Smith
2010,Q4,Paul Otellini,Stacy J. Smith
2011,Q1,Paul Otellini,Stacy J. Smith
2011,Q2,Paul Otellini,Stacy J. Smith
2011,Q3,Paul Otellini,Stacy J. Smith
2011,Q4,Paul Otellini,Stacy J. Smith
2012,Q1,Paul Otellini,Stacy J. Smith
2012,Q2,Paul Otellini,Stacy J. Smith
2012,Q3,Paul Otellini,Stacy J. Smith
2012,Q4,Paul Otellini,Stacy J. Smith
2013,Q1,Brian Krzanich,Stacy J. Smith
2013,Q2,Brian Krzanich,Stacy J. Smith
2013,Q3,Brian Krzanich,Stacy J. Smith
2013,Q4,Brian Krzanich,Stacy J. Smith
2014,Q1,Brian Krzanich,Stacy J. Smith
2014,Q2,Brian Krzanich,Stacy J. Smith
2014,Q3,Brian Krzanich,Stacy J. Smith
2014,Q4,Brian Krzanich,Stacy J. Smith
2015,Q1,Brian Krzanich,Stacy J. Smith
2015,Q2,Brian Krzanich,Stacy J. Smith
2015,Q3,Brian Krzanich,Stacy J. Smith
2015,Q4,Brian Krzanich,Stacy J. Smith
2016,Q1,Brian Krzanich,Stacy J. Smith
2016,Q2,Brian Krzanich,Stacy J. Smith
2016,Q3,Brian Krzanich,Stacy J. Smith
2016,Q4,Brian Krzanich,Stacy J. Smith
2017,Q1,Brian Krzanich,Robert Swan
2017,Q2,Brian Krzanich,Robert Swan
2017,Q3,Brian Krzanich,Robert Swan
2017,Q4,Brian Krzanich,Robert Swan
2018,Q1,Brian Krzanich,Robert Swan
2018,Q2,Brian Krzanich,Robert Swan
2018,Q3,Brian Krzanich,Robert Swan
2018,Q4,Brian Krzanich,Robert Swan
2019,Q1,Robert Swan,George S. Davis
2019,Q2,Robert Swan,George S. Davis
2019,Q3,Robert Swan,George S. Davis
2019,Q4,Robert Swan,George S. Davis
2020,Q1,Robert Swan,George S. Davis
2020,Q2,Robert Swan,George S. Davis
2020,Q3,Robert Swan,George S. Davis
2020,Q4,Robert Swan,George S. Davis
2021,Q1,Patrick Gelsinger,George S. Davis
2021,Q2,Patrick Gelsinger,George S. Davis
2021,Q3,Patrick Gelsinger,George S. Davis
2021,Q4,Patrick Gelsinger,George S. Davis
2022,Q1,Patrick Gelsinger,David Zinsner
2022,Q2,Patrick Gelsinger,David Zinsner
2022,Q3,Patrick Gelsinger,David Zinsner
2022,Q4,Patrick Gelsinger,David Zinsner
2023,Q1,Patrick Gelsinger,David Zinsner
2023,Q2,Patrick Gelsinger,David Zinsner
2023,Q3,Patrick Gelsinger,David Zinsner
2023,Q4,Patrick Gelsinger,David Zinsner
2024,Q1,Patrick Gelsinger,David Zinsner
2024,Q2,Patrick Gelsinger,David Zinsner
2024,Q3,Patrick Gelsinger,David Zinsner
2024,Q4,Patrick Gelsinger,David Zinsner
2025,Q1,Patrick Gelsinger,David Zinsner
2025,Q2,Patrick Gelsinger,David Zinsner
2025,Q3,Patrick Gelsinger,David Zinsner
2025,Q4,Patrick Gelsinger,David Zinsner
