Company,Year,Quarter,CEO,CFO
KMI,2010,Q1,Richard D. Kinder,Kimberly Dang
KMI,2010,Q2,Richard D. Kinder,Kimberly Dang
KMI,2010,Q3,Richard D. Kinder,Kimberly Dang
KMI,2010,Q4,Richard D. Kinder,Kimberly Dang
KMI,2011,Q1,Richard D. Kinder,Kimberly Dang
KMI,2011,Q2,Richard D. Kinder,Kimberly Dang
KMI,2011,Q3,Richard D. Kinder,Kimberly Dang
KMI,2011,Q4,Richard D. Kinder,Kimberly Dang
KMI,2012,Q1,Richard D. Kinder,Kimberly Dang
KMI,2012,Q2,Richard D. Kinder,Kimberly Dang
KMI,2012,Q3,Richard D. Kinder,Kimberly Dang
KMI,2012,Q4,Richard D. Kinder,Kimberly Dang
KMI,2013,Q1,Richard D. Kinder,Kimberly Dang
KMI,2013,Q2,Richard D. Kinder,Kimberly Dang
KMI,2013,Q3,Richard D. Kinder,Kimberly Dang
KMI,2013,Q4,Richard D. Kinder,Kimberly Dang
KMI,2014,Q1,Richard D. Kinder,Kimberly Dang
KMI,2014,Q2,Richard D. Kinder,Kimberly Dang
KMI,2014,Q3,Richard D. Kinder,Kimberly Dang
KMI,2014,Q4,Richard D. Kinder,Kimberly Dang
KMI,2015,Q1,Richard D. Kinder,Kimberly Dang
KMI,2015,Q2,Richard D. Kinder,Kimberly Dang
KMI,2015,Q3,Richard D. Kinder,Kimberly Dang
KMI,2015,Q4,Richard D. Kinder,Kimberly Dang
KMI,2016,Q1,Steven J. Kean,Kimberly Dang
KMI,2016,Q2,Steven J. Kean,Kimberly Dang
KMI,2016,Q3,Steven J. Kean,Kimberly Dang
KMI,2016,Q4,Steven J. Kean,Kimberly Dang
KMI,2017,Q1,Steven J. Kean,Kimberly Dang
KMI,2017,Q2,Steven J. Kean,Kimberly Dang
KMI,2017,Q3,Steven J. Kean,Kimberly Dang
KMI,2017,Q4,Steven J. Kean,Kimberly Dang
KMI,2018,Q1,Steven J. Kean,Kimberly Dang
KMI,2018,Q2,Steven J. Kean,Kimberly Dang
KMI,2018,Q3,Steven J. Kean,Kimberly Dang
KMI,2018,Q4,Steven J. Kean,Kimberly Dang
KMI,2019,Q1,Steven J. Kean,Kimberly Dang
KMI,2019,Q2,Steven J. Kean,Kimberly Dang
KMI,2019,Q3,Steven J. Kean,Kimberly Dang
KMI,2019,Q4,Steven J. Kean,Kimberly Dang
KMI,2020,Q1,Steven J. Kean,Kimberly Dang
KMI,2020,Q2,Steven J. Kean,Kimberly Dang
KMI,2020,Q3,Steven J. Kean,Kimberly Dang
KMI,2020,Q4,Steven J. Kean,Kimberly Dang
KMI,2021,Q1,Steven J. Kean,Kimberly Dang
KMI,2021,Q2,Steven J. Kean,Kimberly Dang
KMI,2021,Q3,Steven J. Kean,Kimberly Dang
KMI,2021,Q4,Steven J. Kean,Kimberly Dang
KMI,2022,Q1,Steven J. Kean,Kimberly Dang
KMI,2022,Q2,Steven J. Kean,Kimberly Dang
KMI,2022,Q3,Steven J. Kean,Kimberly Dang
KMI,2022,Q4,Steven J. Kean,Kimberly Dang
KMI,2023,Q1,Kimberly Dang,Kimberly Dang
KMI,2023,Q2,Kimberly Dang,Kimberly Dang
KMI,2023,Q3,Kimberly Dang,Kimberly Dang
KMI,2023,Q4,Kimberly Dang,Kimberly Dang
KMI,2024,Q1,Kimberly Dang,David P. Hanuschak
KMI,2024,Q2,Kimberly Dang,David P. Hanuschak
KMI,2024,Q3,Kimberly Dang,David P. Hanuschak
KMI,2024,Q4,Kimberly Dang,David P. Hanuschak
KMI,2025,Q1,Kimberly Dang,David P. Hanuschak
KMI,2025,Q2,Kimberly Dang,David P. Hanuschak
KMI,2025,Q3,Kimberly Dang,David P. Hanuschak
KMI,2025,Q4,Kimberly Dang,David P. Hanuschak
