Company,Year,Quarter,CEO,CFO
MPC,2010,Q1,Gary R. Heminger,Don C. Templin
MPC,2010,Q2,Gary R. Heminger,Don C. Templin
MPC,2010,Q3,Gary R. Heminger,Don C. Templin
MPC,2010,Q4,Gary R. Heminger,Don C. Templin
MPC,2011,Q1,Gary R. Heminger,Don C. Templin
MPC,2011,Q2,Gary R. Heminger,Don C. Templin
MPC,2011,Q3,Gary R. Heminger,Don C. Templin
MPC,2011,Q4,Gary R. Heminger,Don C. Templin
MPC,2012,Q1,Gary R. Heminger,Don C. Templin
MPC,2012,Q2,Gary R. Heminger,Don C. Templin
MPC,2012,Q3,Gary R. Heminger,Don C. Templin
MPC,2012,Q4,Gary R. Heminger,Don C. Templin
MPC,2013,Q1,Gary R. Heminger,Don C. Templin
MPC,2013,Q2,Gary R. Heminger,Don C. Templin
MPC,2013,Q3,Gary R. Heminger,Don C. Templin
MPC,2013,Q4,Gary R. Heminger,Don C. Templin
MPC,2014,Q1,Gary R. Heminger,Don C. Templin
MPC,2014,Q2,Gary R. Heminger,Don C. Templin
MPC,2014,Q3,Gary R. Heminger,Don C. Templin
MPC,2014,Q4,Gary R. Heminger,Don C. Templin
MPC,2015,Q1,Gary R. Heminger,Don C. Templin
MPC,2015,Q2,Gary R. Heminger,Don C. Templin
MPC,2015,Q3,Gary R. Heminger,Don C. Templin
MPC,2015,Q4,Gary R. Heminger,Don C. Templin
MPC,2016,Q1,Gary R. Heminger,Don C. Templin
MPC,2016,Q2,Gary R. Heminger,Don C. Templin
MPC,2016,Q3,Gary R. Heminger,Don C. Templin
MPC,2016,Q4,Gary R. Heminger,Don C. Templin
MPC,2017,Q1,Gary R. Heminger,Don C. Templin
MPC,2017,Q2,Gary R. Heminger,Don C. Templin
MPC,2017,Q3,Gary R. Heminger,Don C. Templin
MPC,2017,Q4,Gary R. Heminger,Don C. Templin
MPC,2018,Q1,Gary R. Heminger,Don C. Templin
MPC,2018,Q2,Gary R. Heminger,Don C. Templin
MPC,2018,Q3,Gary R. Heminger,Don C. Templin
MPC,2018,Q4,Gary R. Heminger,Don C. Templin
MPC,2019,Q1,Gary R. Heminger,Don C. Templin
MPC,2019,Q2,Gary R. Heminger,Don C. Templin
MPC,2019,Q3,Gary R. Heminger,Don C. Templin
MPC,2019,Q4,Gary R. Heminger,Don C. Templin
MPC,2019,Q1,Michael J. Hennigan,Don C. Templin
MPC,2019,Q2,Michael J. Hennigan,Don C. Templin
MPC,2019,Q3,Michael J. Hennigan,Don C. Templin
MPC,2019,Q4,Michael J. Hennigan,Don C. Templin
MPC,2020,Q1,Michael J. Hennigan,John J. Quaid
MPC,2020,Q2,Michael J. Hennigan,John J. Quaid
MPC,2020,Q3,Michael J. Hennigan,John J. Quaid
MPC,2020,Q4,Michael J. Hennigan,John J. Quaid
MPC,2021,Q1,Michael J. Hennigan,John J. Quaid
MPC,2021,Q2,Michael J. Hennigan,John J. Quaid
MPC,2021,Q3,Michael J. Hennigan,John J. Quaid
MPC,2021,Q4,Michael J. Hennigan,John J. Quaid
MPC,2022,Q1,Michael J. Hennigan,John J. Quaid
MPC,2022,Q2,Michael J. Hennigan,John J. Quaid
MPC,2022,Q3,Michael J. Hennigan,John J. Quaid
MPC,2022,Q4,Michael J. Hennigan,John J. Quaid
MPC,2023,Q1,Michael J. Hennigan,John J. Quaid
MPC,2023,Q2,Michael J. Hennigan,John J. Quaid
MPC,2023,Q3,Michael J. Hennigan,John J. Quaid
MPC,2023,Q4,Michael J. Hennigan,John J. Quaid
MPC,2024,Q1,Michael J. Hennigan,John J. Quaid
MPC,2024,Q2,Michael J. Hennigan,John J. Quaid
MPC,2024,Q3,Michael J. Hennigan,John J. Quaid
MPC,2024,Q4,Michael J. Hennigan,John J. Quaid
MPC,2025,Q1,Michael J. Hennigan,John J. Quaid
MPC,2025,Q2,Michael J. Hennigan,John J. Quaid
MPC,2025,Q3,Michael J. Hennigan,John J. Quaid
MPC,2025,Q4,Michael J. Hennigan,John J. Quaid
