Company,Year,Quarter,CEO,CFO
OXY,2010,Q1,Ray R. Irani,Marjorie L. Hargrove
OXY,2010,Q2,Ray R. Irani,Marjorie L. Hargrove
OXY,2010,Q3,Ray R. Irani,Marjorie L. Hargrove
OXY,2010,Q4,Ray R. Irani,Marjorie L. Hargrove
OXY,2011,Q1,Ray R. Irani,Marjorie L. Hargrove
OXY,2011,Q2,Ray R. Irani,Marjorie L. Hargrove
OXY,2011,Q3,Ray R. Irani,Marjorie L. Hargrove
OXY,2011,Q4,Ray R. Irani,Marjorie L. Hargrove
OXY,2012,Q1,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2012,Q2,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2012,Q3,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2012,Q4,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2013,Q1,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2013,Q2,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2013,Q3,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2013,Q4,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2014,Q1,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2014,Q2,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2014,Q3,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2014,Q4,Stephen I. Chazen,Marjorie L. Hargrove
OXY,2015,Q1,Stephen I. Chazen,Vicki A. Hollub
OXY,2015,Q2,Stephen I. Chazen,Vicki A. Hollub
OXY,2015,Q3,Stephen I. Chazen,Vicki A. Hollub
OXY,2015,Q4,Stephen I. Chazen,Vicki A. Hollub
OXY,2016,Q1,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2016,Q2,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2016,Q3,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2016,Q4,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2016,Q1,Vicki A. Hollub,Jody Elliot
OXY,2016,Q2,Vicki A. Hollub,Jody Elliot
OXY,2016,Q3,Vicki A. Hollub,Jody Elliot
OXY,2016,Q4,Vicki A. Hollub,Jody Elliot
OXY,2017,Q1,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2017,Q2,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2017,Q3,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2017,Q4,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2018,Q1,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2018,Q2,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2018,Q3,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2018,Q4,Vicki A. Hollub,Marjorie L. Hargrove
OXY,2019,Q1,Vicki A. Hollub,Cedric W. Burgher
OXY,2019,Q2,Vicki A. Hollub,Cedric W. Burgher
OXY,2019,Q3,Vicki A. Hollub,Cedric W. Burgher
OXY,2019,Q4,Vicki A. Hollub,Cedric W. Burgher
OXY,2020,Q1,Vicki A. Hollub,Cedric W. Burgher
OXY,2020,Q2,Vicki A. Hollub,Cedric W. Burgher
OXY,2020,Q3,Vicki A. Hollub,Cedric W. Burgher
OXY,2020,Q4,Vicki A. Hollub,Cedric W. Burgher
OXY,2021,Q1,Vicki A. Hollub,Cedric W. Burgher
OXY,2021,Q2,Vicki A. Hollub,Cedric W. Burgher
OXY,2021,Q3,Vicki A. Hollub,Cedric W. Burgher
OXY,2021,Q4,Vicki A. Hollub,Cedric W. Burgher
OXY,2022,Q1,Vicki A. Hollub,Cedric W. Burgher
OXY,2022,Q2,Vicki A. Hollub,Cedric W. Burgher
OXY,2022,Q3,Vicki A. Hollub,Cedric W. Burgher
OXY,2022,Q4,Vicki A. Hollub,Cedric W. Burgher
OXY,2023,Q1,Vicki A. Hollub,Cedric W. Burgher
OXY,2023,Q2,Vicki A. Hollub,Cedric W. Burgher
OXY,2023,Q3,Vicki A. Hollub,Cedric W. Burgher
OXY,2023,Q4,Vicki A. Hollub,Cedric W. Burgher
OXY,2024,Q1,Vicki A. Hollub,Cedric W. Burgher
OXY,2024,Q2,Vicki A. Hollub,Cedric W. Burgher
OXY,2024,Q3,Vicki A. Hollub,Cedric W. Burgher
OXY,2024,Q4,Vicki A. Hollub,Cedric W. Burgher
OXY,2025,Q1,Vicki A. Hollub,Cedric W. Burgher
OXY,2025,Q2,Vicki A. Hollub,Cedric W. Burgher
OXY,2025,Q3,Vicki A. Hollub,Cedric W. Burgher
OXY,2025,Q4,Vicki A. Hollub,Cedric W. Burgher
