Year,Quarter,CEO,CFO
2010,Q1,Andrew Gould,Simon Ayat
2010,Q2,Andrew Gould,Simon Ayat
2010,Q3,Andrew Gould,Simon Ayat
2010,Q4,Andrew Gould,Simon Ayat
2011,Q1,Andrew Gould,Paal Kibsgaard
2011,Q2,Andrew Gould,Paal Kibsgaard
2011,Q3,Andrew Gould,Paal Kibsgaard
2011,Q4,Andrew Gould,Paal Kibsgaard
2012,Q1,Paal Kibsgaard,Simon Ayat
2012,Q2,Paal Kibsgaard,Simon Ayat
2012,Q3,Paal Kibsgaard,Simon Ayat
2012,Q4,Paal Kibsgaard,Simon Ayat
2013,Q1,Paal Kibsgaard,Simon Ayat
2013,Q2,Paal Kibsgaard,Simon Ayat
2013,Q3,Paal Kibsgaard,Simon Ayat
2013,Q4,Paal Kibsgaard,Simon Ayat
2014,Q1,Paal Kibsgaard,Simon Ayat
2014,Q2,Paal Kibsgaard,Simon Ayat
2014,Q3,Paal Kibsgaard,Simon Ayat
2014,Q4,Paal Kibsgaard,Simon Ayat
2015,Q1,Paal Kibsgaard,Simon Ayat
2015,Q2,Paal Kibsgaard,Simon Ayat
2015,Q3,Paal Kibsgaard,Simon Ayat
2015,Q4,Paal Kibsgaard,Simon Ayat
2016,Q1,Paal Kibsgaard,Simon Ayat
2016,Q2,Paal Kibsgaard,Simon Ayat
2016,Q3,Paal Kibsgaard,Simon Ayat
2016,Q4,Paal Kibsgaard,Simon Ayat
2017,Q1,Paal Kibsgaard,Simon Ayat
2017,Q2,Paal Kibsgaard,Simon Ayat
2017,Q3,Paal Kibsgaard,Simon Ayat
2017,Q4,Paal Kibsgaard,Simon Ayat
2018,Q1,Paal Kibsgaard,Simon Ayat
2018,Q2,Paal Kibsgaard,Simon Ayat
2018,Q3,Paal Kibsgaard,Simon Ayat
2018,Q4,Paal Kibsgaard,Simon Ayat
2019,Q1,Paal Kibsgaard,Simon Ayat
2019,Q2,Paal Kibsgaard,Simon Ayat
2019,Q3,Paal Kibsgaard,Simon Ayat
2019,Q4,Paal Kibsgaard,Simon Ayat
2020,Q1,Olivier Le Peuch,Stephane Biguet
2020,Q2,Olivier Le Peuch,Stephane Biguet
2020,Q3,Olivier Le Peuch,Stephane Biguet
2020,Q4,Olivier Le Peuch,Stephane Biguet
2021,Q1,Olivier Le Peuch,Stephane Biguet
2021,Q2,Olivier Le Peuch,Stephane Biguet
2021,Q3,Olivier Le Peuch,Stephane Biguet
2021,Q4,Olivier Le Peuch,Stephane Biguet
2022,Q1,Olivier Le Peuch,Stephane Biguet
2022,Q2,Olivier Le Peuch,Stephane Biguet
2022,Q3,Olivier Le Peuch,Stephane Biguet
2022,Q4,Olivier Le Peuch,Stephane Biguet
2023,Q1,Olivier Le Peuch,Stephane Biguet
2023,Q2,Olivier Le Peuch,Stephane Biguet
2023,Q3,Olivier Le Peuch,Stephane Biguet
2023,Q4,Olivier Le Peuch,Stephane Biguet
2024,Q1,Olivier Le Peuch,Stephane Biguet
2024,Q2,Olivier Le Peuch,Stephane Biguet
2024,Q3,Olivier Le Peuch,Stephane Biguet
2024,Q4,Olivier Le Peuch,Stephane Biguet
2025,Q1,Olivier Le Peuch,Stephane Biguet
2025,Q2,Olivier Le Peuch,Stephane Biguet
2025,Q3,Olivier Le Peuch,Stephane Biguet
2025,Q4,Olivier Le Peuch,Stephane Biguet
