Company,Year,Quarter,CEO,CFO
TPL,2010,Q1,Maurice E. Meyer III,Dana G. Klett
TPL,2010,Q2,Maurice E. Meyer III,Dana G. Klett
TPL,2010,Q3,Maurice E. Meyer III,Dana G. Klett
TPL,2010,Q4,Maurice E. Meyer III,Dana G. Klett
TPL,2011,Q1,Maurice E. Meyer III,Dana G. Klett
TPL,2011,Q2,Maurice E. Meyer III,Dana G. Klett
TPL,2011,Q3,Maurice E. Meyer III,Dana G. Klett
TPL,2011,Q4,Maurice E. Meyer III,Dana G. Klett
TPL,2012,Q1,Maurice E. Meyer III,Dana G. Klett
TPL,2012,Q2,Maurice E. Meyer III,Dana G. Klett
TPL,2012,Q3,Maurice E. Meyer III,Dana G. Klett
TPL,2012,Q4,Maurice E. Meyer III,Dana G. Klett
TPL,2013,Q1,Maurice E. Meyer III,Dana G. Klett
TPL,2013,Q2,Maurice E. Meyer III,Dana G. Klett
TPL,2013,Q3,Maurice E. Meyer III,Dana G. Klett
TPL,2013,Q4,Maurice E. Meyer III,Dana G. Klett
TPL,2014,Q1,Maurice E. Meyer III,Dana G. Klett
TPL,2014,Q2,Maurice E. Meyer III,Dana G. Klett
TPL,2014,Q3,Maurice E. Meyer III,Dana G. Klett
TPL,2014,Q4,Maurice E. Meyer III,Dana G. Klett
TPL,2015,Q1,Maurice E. Meyer III,Dana G. Klett
TPL,2015,Q2,Maurice E. Meyer III,Dana G. Klett
TPL,2015,Q3,Maurice E. Meyer III,Dana G. Klett
TPL,2015,Q4,Maurice E. Meyer III,Dana G. Klett
TPL,2016,Q1,Maurice E. Meyer III,Dana G. Klett
TPL,2016,Q2,Maurice E. Meyer III,Dana G. Klett
TPL,2016,Q3,Maurice E. Meyer III,Dana G. Klett
TPL,2016,Q4,Maurice E. Meyer III,Dana G. Klett
TPL,2017,Q1,Maurice E. Meyer III,Dana G. Klett
TPL,2017,Q2,Maurice E. Meyer III,Dana G. Klett
TPL,2017,Q3,Maurice E. Meyer III,Dana G. Klett
TPL,2017,Q4,Maurice E. Meyer III,Dana G. Klett
TPL,2018,Q1,Maurice E. Meyer III,Dana G. Klett
TPL,2018,Q2,Maurice E. Meyer III,Dana G. Klett
TPL,2018,Q3,Maurice E. Meyer III,Dana G. Klett
TPL,2018,Q4,Maurice E. Meyer III,Dana G. Klett
TPL,2019,Q1,Tyler Glover (Interim),Dana G. Klett
TPL,2019,Q2,Tyler Glover (Interim),Dana G. Klett
TPL,2019,Q3,Tyler Glover (Interim),Dana G. Klett
TPL,2019,Q4,Tyler Glover (Interim),Dana G. Klett
TPL,2019,Q1,David E. Barry,Dana G. Klett
TPL,2019,Q2,David E. Barry,Dana G. Klett
TPL,2019,Q3,David E. Barry,Dana G. Klett
TPL,2019,Q4,David E. Barry,Dana G. Klett
TPL,2020,Q1,David E. Barry,Dana G. Klett
TPL,2020,Q2,David E. Barry,Dana G. Klett
TPL,2020,Q3,David E. Barry,Dana G. Klett
TPL,2020,Q4,David E. Barry,Dana G. Klett
TPL,2021,Q1,David E. Barry,Dana G. Klett
TPL,2021,Q2,David E. Barry,Dana G. Klett
TPL,2021,Q3,David E. Barry,Dana G. Klett
TPL,2021,Q4,David E. Barry,Dana G. Klett
TPL,2022,Q1,David E. Barry,Dana G. Klett
TPL,2022,Q2,David E. Barry,Dana G. Klett
TPL,2022,Q3,David E. Barry,Dana G. Klett
TPL,2022,Q4,David E. Barry,Dana G. Klett
TPL,2023,Q1,David E. Barry,Dana G. Klett
TPL,2023,Q2,David E. Barry,Dana G. Klett
TPL,2023,Q3,David E. Barry,Dana G. Klett
TPL,2023,Q4,David E. Barry,Dana G. Klett
TPL,2024,Q1,David E. Barry,Dana G. Klett
TPL,2024,Q2,David E. Barry,Dana G. Klett
TPL,2024,Q3,David E. Barry,Dana G. Klett
TPL,2024,Q4,David E. Barry,Dana G. Klett
TPL,2025,Q1,David E. Barry,Dana G. Klett
TPL,2025,Q2,David E. Barry,Dana G. Klett
TPL,2025,Q3,David E. Barry,Dana G. Klett
TPL,2025,Q4,David E. Barry,Dana G. Klett
