Company,Year,Quarter,CEO,CFO
TSLA,2010,Q1,Elon Musk,Deepak Ahuja
TSLA,2010,Q2,Elon Musk,Deepak Ahuja
TSLA,2010,Q3,Elon Musk,Deepak Ahuja
TSLA,2010,Q4,Elon Musk,Deepak Ahuja
TSLA,2011,Q1,Elon Musk,Deepak Ahuja
TSLA,2011,Q2,Elon Musk,Deepak Ahuja
TSLA,2011,Q3,Elon Musk,Deepak Ahuja
TSLA,2011,Q4,Elon Musk,Deepak Ahuja
TSLA,2012,Q1,Elon Musk,Deepak Ahuja
TSLA,2012,Q2,Elon Musk,Deepak Ahuja
TSLA,2012,Q3,Elon Musk,Deepak Ahuja
TSLA,2012,Q4,Elon Musk,Deepak Ahuja
TSLA,2013,Q1,Elon Musk,Deepak Ahuja
TSLA,2013,Q2,Elon Musk,Deepak Ahuja
TSLA,2013,Q3,Elon Musk,Deepak Ahuja
TSLA,2013,Q4,Elon Musk,Deepak Ahuja
TSLA,2014,Q1,Elon Musk,Deepak Ahuja
TSLA,2014,Q2,Elon Musk,Deepak Ahuja
TSLA,2014,Q3,Elon Musk,Deepak Ahuja
TSLA,2014,Q4,Elon Musk,Deepak Ahuja
TSLA,2015,Q1,Lyndon Rive,Brad Buss
TSLA,2015,Q2,Lyndon Rive,Brad Buss
TSLA,2015,Q3,Lyndon Rive,Brad Buss
TSLA,2015,Q4,Lyndon Rive,Brad Buss
TSLA,2016,Q1,Elon Musk,Jason Wheeler
TSLA,2016,Q2,Elon Musk,Jason Wheeler
TSLA,2016,Q3,Elon Musk,Jason Wheeler
TSLA,2016,Q4,Elon Musk,Jason Wheeler
TSLA,2017,Q1,Elon Musk,Deepak Ahuja
TSLA,2017,Q2,Elon Musk,Deepak Ahuja
TSLA,2017,Q3,Elon Musk,Deepak Ahuja
TSLA,2017,Q4,Elon Musk,Deepak Ahuja
TSLA,2018,Q1,Elon Musk,Deepak Ahuja
TSLA,2018,Q2,Elon Musk,Deepak Ahuja
TSLA,2018,Q3,Elon Musk,Deepak Ahuja
TSLA,2018,Q4,Elon Musk,Deepak Ahuja
TSLA,2019,Q1,Elon Musk,Zachary Kirkhorn
TSLA,2019,Q2,Elon Musk,Zachary Kirkhorn
TSLA,2019,Q3,Elon Musk,Zachary Kirkhorn
TSLA,2019,Q4,Elon Musk,Zachary Kirkhorn
TSLA,2020,Q1,Elon Musk,Zachary Kirkhorn
TSLA,2020,Q2,Elon Musk,Zachary Kirkhorn
TSLA,2020,Q3,Elon Musk,Zachary Kirkhorn
TSLA,2020,Q4,Elon Musk,Zachary Kirkhorn
TSLA,2021,Q1,Elon Musk,Zachary Kirkhorn
TSLA,2021,Q2,Elon Musk,Zachary Kirkhorn
TSLA,2021,Q3,Elon Musk,Zachary Kirkhorn
TSLA,2021,Q4,Elon Musk,Zachary Kirkhorn
TSLA,2022,Q1,Elon Musk,Zachary Kirkhorn
TSLA,2022,Q2,Elon Musk,Zachary Kirkhorn
TSLA,2022,Q3,Elon Musk,Zachary Kirkhorn
TSLA,2022,Q4,Elon Musk,Zachary Kirkhorn
TSLA,2023,Q1,Elon Musk,Zachary Kirkhorn
TSLA,2023,Q2,Elon Musk,Zachary Kirkhorn
TSLA,2023,Q3,Elon Musk,Zachary Kirkhorn
TSLA,2023,Q4,Elon Musk,Zachary Kirkhorn
TSLA,2024,Q1,Elon Musk,Vaibhav Taneja
TSLA,2024,Q2,Elon Musk,Vaibhav Taneja
TSLA,2024,Q3,Elon Musk,Vaibhav Taneja
TSLA,2024,Q4,Elon Musk,Vaibhav Taneja
TSLA,2025,Q1,Elon Musk,Vaibhav Taneja
TSLA,2025,Q2,Elon Musk,Vaibhav Taneja
TSLA,2025,Q3,Elon Musk,Vaibhav Taneja
TSLA,2025,Q4,Elon Musk,Vaibhav Taneja
