Company,Year,Quarter,CEO,CFO
WMB,2010,Q1,Alan Armstrong,Craig D. Collins
WMB,2010,Q2,Alan Armstrong,Craig D. Collins
WMB,2010,Q3,Alan Armstrong,Craig D. Collins
WMB,2010,Q4,Alan Armstrong,Craig D. Collins
WMB,2011,Q1,Alan Armstrong,Craig D. Collins
WMB,2011,Q2,Alan Armstrong,Craig D. Collins
WMB,2011,Q3,Alan Armstrong,Craig D. Collins
WMB,2011,Q4,Alan Armstrong,Craig D. Collins
WMB,2012,Q1,Alan Armstrong,Craig D. Collins
WMB,2012,Q2,Alan Armstrong,Craig D. Collins
WMB,2012,Q3,Alan Armstrong,Craig D. Collins
WMB,2012,Q4,Alan Armstrong,Craig D. Collins
WMB,2013,Q1,Alan Armstrong,Craig D. Collins
WMB,2013,Q2,Alan Armstrong,Craig D. Collins
WMB,2013,Q3,Alan Armstrong,Craig D. Collins
WMB,2013,Q4,Alan Armstrong,Craig D. Collins
WMB,2014,Q1,Alan Armstrong,Craig D. Collins
WMB,2014,Q2,Alan Armstrong,Craig D. Collins
WMB,2014,Q3,Alan Armstrong,Craig D. Collins
WMB,2014,Q4,Alan Armstrong,Craig D. Collins
WMB,2015,Q1,Alan Armstrong,Craig D. Collins
WMB,2015,Q2,Alan Armstrong,Craig D. Collins
WMB,2015,Q3,Alan Armstrong,Craig D. Collins
WMB,2015,Q4,Alan Armstrong,Craig D. Collins
WMB,2016,Q1,Alan Armstrong,Craig D. Collins
WMB,2016,Q2,Alan Armstrong,Craig D. Collins
WMB,2016,Q3,Alan Armstrong,Craig D. Collins
WMB,2016,Q4,Alan Armstrong,Craig D. Collins
WMB,2017,Q1,Alan Armstrong,Craig D. Collins
WMB,2017,Q2,Alan Armstrong,Craig D. Collins
WMB,2017,Q3,Alan Armstrong,Craig D. Collins
WMB,2017,Q4,Alan Armstrong,Craig D. Collins
WMB,2018,Q1,Alan Armstrong,John P. Chandler
WMB,2018,Q2,Alan Armstrong,John P. Chandler
WMB,2018,Q3,Alan Armstrong,John P. Chandler
WMB,2018,Q4,Alan Armstrong,John P. Chandler
WMB,2019,Q1,Alan Armstrong,John P. Chandler
WMB,2019,Q2,Alan Armstrong,John P. Chandler
WMB,2019,Q3,Alan Armstrong,John P. Chandler
WMB,2019,Q4,Alan Armstrong,John P. Chandler
WMB,2020,Q1,Alan Armstrong,John P. Chandler
WMB,2020,Q2,Alan Armstrong,John P. Chandler
WMB,2020,Q3,Alan Armstrong,John P. Chandler
WMB,2020,Q4,Alan Armstrong,John P. Chandler
WMB,2021,Q1,Alan Armstrong,John P. Chandler
WMB,2021,Q2,Alan Armstrong,John P. Chandler
WMB,2021,Q3,Alan Armstrong,John P. Chandler
WMB,2021,Q4,Alan Armstrong,John P. Chandler
WMB,2022,Q1,Alan Armstrong,John P. Chandler
WMB,2022,Q2,Alan Armstrong,John P. Chandler
WMB,2022,Q3,Alan Armstrong,John P. Chandler
WMB,2022,Q4,Alan Armstrong,John P. Chandler
WMB,2023,Q1,Alan Armstrong,John P. Chandler
WMB,2023,Q2,Alan Armstrong,John P. Chandler
WMB,2023,Q3,Alan Armstrong,John P. Chandler
WMB,2023,Q4,Alan Armstrong,John P. Chandler
WMB,2024,Q1,Alan Armstrong,John P. Chandler
WMB,2024,Q2,Alan Armstrong,John P. Chandler
WMB,2024,Q3,Alan Armstrong,John P. Chandler
WMB,2024,Q4,Alan Armstrong,John P. Chandler
WMB,2025,Q1,Alan Armstrong,John P. Chandler
WMB,2025,Q2,Alan Armstrong,John P. Chandler
WMB,2025,Q3,Alan Armstrong,John P. Chandler
WMB,2025,Q4,Alan Armstrong,John P. Chandler
