Company,Year,Quarter,CEO,CFO
XOM,2010,Q1,Rex W. Tillerson,David Rosenthal
XOM,2010,Q2,Rex W. Tillerson,David Rosenthal
XOM,2010,Q3,Rex W. Tillerson,David Rosenthal
XOM,2010,Q4,Rex W. Tillerson,David Rosenthal
XOM,2011,Q1,Rex W. Tillerson,David Rosenthal
XOM,2011,Q2,Rex W. Tillerson,David Rosenthal
XOM,2011,Q3,Rex W. Tillerson,David Rosenthal
XOM,2011,Q4,Rex W. Tillerson,David Rosenthal
XOM,2012,Q1,Rex W. Tillerson,David Rosenthal
XOM,2012,Q2,Rex W. Tillerson,David Rosenthal
XOM,2012,Q3,Rex W. Tillerson,David Rosenthal
XOM,2012,Q4,Rex W. Tillerson,David Rosenthal
XOM,2013,Q1,Rex W. Tillerson,David Rosenthal
XOM,2013,Q2,Rex W. Tillerson,David Rosenthal
XOM,2013,Q3,Rex W. Tillerson,David Rosenthal
XOM,2013,Q4,Rex W. Tillerson,David Rosenthal
XOM,2014,Q1,Rex W. Tillerson,David Rosenthal
XOM,2014,Q2,Rex W. Tillerson,David Rosenthal
XOM,2014,Q3,Rex W. Tillerson,David Rosenthal
XOM,2014,Q4,Rex W. Tillerson,David Rosenthal
XOM,2015,Q1,Rex W. Tillerson,Jeffrey W. Woodbury
XOM,2015,Q2,Rex W. Tillerson,Jeffrey W. Woodbury
XOM,2015,Q3,Rex W. Tillerson,Jeffrey W. Woodbury
XOM,2015,Q4,Rex W. Tillerson,Jeffrey W. Woodbury
XOM,2016,Q1,Rex W. Tillerson,Jeffrey W. Woodbury
XOM,2016,Q2,Rex W. Tillerson,Jeffrey W. Woodbury
XOM,2016,Q3,Rex W. Tillerson,Jeffrey W. Woodbury
XOM,2016,Q4,Rex W. Tillerson,Jeffrey W. Woodbury
XOM,2017,Q1,Darren W. Woods,Jeffrey W. Woodbury
XOM,2017,Q2,Darren W. Woods,Jeffrey W. Woodbury
XOM,2017,Q3,Darren W. Woods,Jeffrey W. Woodbury
XOM,2017,Q4,Darren W. Woods,Jeffrey W. Woodbury
XOM,2018,Q1,Darren W. Woods,Jeffrey W. Woodbury
XOM,2018,Q2,Darren W. Woods,Jeffrey W. Woodbury
XOM,2018,Q3,Darren W. Woods,Jeffrey W. Woodbury
XOM,2018,Q4,Darren W. Woods,Jeffrey W. Woodbury
XOM,2018,Q1,Darren W. Woods,Neil Hansen
XOM,2018,Q2,Darren W. Woods,Neil Hansen
XOM,2018,Q3,Darren W. Woods,Neil Hansen
XOM,2018,Q4,Darren W. Woods,Neil Hansen
XOM,2019,Q1,Darren W. Woods,Neil Hansen
XOM,2019,Q2,Darren W. Woods,Neil Hansen
XOM,2019,Q3,Darren W. Woods,Neil Hansen
XOM,2019,Q4,Darren W. Woods,Neil Hansen
XOM,2020,Q1,Darren W. Woods,Andrew P. Swiger
XOM,2020,Q2,Darren W. Woods,Andrew P. Swiger
XOM,2020,Q3,Darren W. Woods,Andrew P. Swiger
XOM,2020,Q4,Darren W. Woods,Andrew P. Swiger
XOM,2021,Q1,Darren W. Woods,Kathryn A. Mikells
XOM,2021,Q2,Darren W. Woods,Kathryn A. Mikells
XOM,2021,Q3,Darren W. Woods,Kathryn A. Mikells
XOM,2021,Q4,Darren W. Woods,Kathryn A. Mikells
XOM,2022,Q1,Darren W. Woods,Kathryn A. Mikells
XOM,2022,Q2,Darren W. Woods,Kathryn A. Mikells
XOM,2022,Q3,Darren W. Woods,Kathryn A. Mikells
XOM,2022,Q4,Darren W. Woods,Kathryn A. Mikells
XOM,2023,Q1,Darren W. Woods,Kathryn A. Mikells
XOM,2023,Q2,Darren W. Woods,Kathryn A. Mikells
XOM,2023,Q3,Darren W. Woods,Kathryn A. Mikells
XOM,2023,Q4,Darren W. Woods,Kathryn A. Mikells
XOM,2024,Q1,Darren W. Woods,Kathryn A. Mikells
XOM,2024,Q2,Darren W. Woods,Kathryn A. Mikells
XOM,2024,Q3,Darren W. Woods,Kathryn A. Mikells
XOM,2024,Q4,Darren W. Woods,Kathryn A. Mikells
XOM,2025,Q1,Darren W. Woods,Kathryn A. Mikells
XOM,2025,Q2,Darren W. Woods,Kathryn A. Mikells
XOM,2025,Q3,Darren W. Woods,Kathryn A. Mikells
XOM,2025,Q4,Darren W. Woods,Kathryn A. Mikells
