mnemonic,Description
cheq,"Cash and Short-Term Investments"
rectq,Receivables
invtq,Inventories
aoq,"Other Assets"
actq,"Current Assets"
ppentq,"Property, Plant & Equipment (Net)"
ivaeqq,"Invesetment and Advances (equity)"
ivaoq,"Investments and Advances - Other"
intanq,"Intangible Assets"
aoq,"Other Assets"
atq,"Total Assets"
dlcq,"Debt in Current Liabilities"
apq,"Accounts Payable"
txpq,"Income Taxes Payable"
lctq,"Current Liabilities"
dlttq,"Long-Term Debt (Total)"
acoq,"Accrued and Other Current Liabilities"
txditcq,"Deferred Taxes and Investment Tax Credit"
loq,"Other Liabilities"
ltq,"Total Liabilities"
pstkq,"Preferred Stock"
cstkq,"Common Stock"
seqq,"Total Shareholders’ Equity"
datadate,"Data Date"
fyearq,"Year"
fqtr,"Quarter"
tic,"Ticker"
cik,"CIK"
