mnemonic,Description
saleq,"Sales/Turnover (Net)"
cogsq,"cost of Goods Sold"
xsgaq,"Selling, General and Administrative Expenses"
dpq,"Depreciation and Amortization"
oiadpq,"Operating Income After Depreciation"
xintq,"Interest and related expenses"
nopiq,"Non-operating income"
txpq,"Income Tax Payable"
txtq,"Total Income Taxes"
ibq,"Income Before Extraordinary Items"
fincfy,"Net Income (Includes Extraordinary Items)"
niq,"Net Income (loss)"
piq,"Preferred Dividends"
epsfxq,"Earnings Per Share Diluted - Excluding Extraordinary Items"
epspxq,"Earnings Per Share Basic  - Excluding Extraordinary Items"
ibcomq,"Income Before Extraordinary Items For Common Stocks"
ibadjq,"Income Before Extraordinary Items Adjusted For Common Stock Equivalents"
xidoq,"Extraordinary Items and Discontinued Operations"
oiadpq,"Operating Income After Depreciation and Excluding Special Items"
oibdpq,"Operating Income Before Depreciation and Excluding Special Items"
txdbq,"Deferred Taxes"
